title,reviews
베리 굿 걸,
고양이 집사," 함께라서 행복합니다!!
여러 가지 이유들로 길을 떠도는 고양이들.

시끄럽다고, 지저분하다고, 혹은 그냥 싫다고 동물을 학대하는 사람들도 있는가 하면 자꾸 눈에 밟히는 고양이들의 식사만이라도 챙겨주려는 집사들에 대한 이야기가 영화의 주된 내용이다.



전국 각지에서 고양이와 함께 하는 삶을 살아가고자 물심양면으로 노력하는 집사들의 이야기는 자주 듣고 보던, 흔하디흔한 이야기지만 그럼에도 마음을 몽글몽글하게 만드는 무언가가 있다.

학대받는 고양이들을 보며 함께 분노하고, 길을 떠돌지만 사람을 그렇게나 좋아하는 냥이들을 보며 미소도 머금고, 자꾸 눈에 밟히는 고양이 때문에 서울-춘천을 수차례 왕복하는 감독의 모습이 전혀 낯설지가 않은 걸 보니 나도 절반쯤은 집사이고 싶나 보다.



인간만 살아가는 지구가 아닌데 그저 인간의 욕심에 살아갈 곳마저 잃어버리는 동물들에게 참 미안한 마음뿐.

그래도 어디서든, 언제든지, 고양님들을 위해 기꺼이 헌신하는 집사들이 있으니 아직은 희망이 보이는듯하다.

비록 우리 동네엔 고양님들이 다 사라졌지만 언제 어디서고 길에서 고양님을 만난다면 반가이 인사해주고 깨끗한 물 한 모금이라도 대접하리라!!
리뷰 전문 보기 '고양이 집사'는 고양이를 사랑하는 사람들에 대한 다큐멘터리다. 제목을 보면 애완 고양이를 키우는 사람들에 대한 일상 브이로그 같은 영화처럼 보일 수도 있지만, 사실은 길고양이들에게 사랑을 베푸려는 사람들에 대한 취재기다. 직접 키우진 못해도, 고양이들과 함께 더불어 사는 마을을 만들기 위해 자기 자리에서 할 수 있는 일들을 하고, 고양이들의 매력에 푹 빠져가는 사람들을 보며, 감독 본인이 자신과 고양이와의 관계를 성찰하게 되는 경험을 관객들과 공유한다. 고양이들에게 나름대로의 스토리와 캐릭터를 주는 듯하지만, 영화를 전반적으로 아우르는 스토리텔링을 하기엔 그 캐릭터들에게 개성이 많이 부족했다. 영화가 고양이를 바라보는 시선은 'TV동물농장'이나 수많은 유튜브 영상들과 크게 다르지 않으며, 사연들을 별 다른 주제적 흐름없이 나열하는 방식은 매우 단조로웠다. 요즘 애니멀봐 티비를 주구장창 틀어놓고 보면서 관심이 생긴 냥이들 때문에 집사를 해야 하나? 고민중에 보게 된 영화.
.
영화에 나온 집사들은 하나같이 길냥이들의 집사로서 고양이들이 영역동물이고, 그들이 살고 있던 터전에 인간과 같이 공존할 수 있는 방법은 없을지 고민도 많이 하게 되는것 같다.
.
그러게....
우리가 사는 공간에 고양이들이 들어온게 아니라, 애초부터 공존하고 있었다는것에 적어도 동의정도는 해줘야 하지 않을까 싶다.
.
화면으로 보고싶은 냥이들을 엄청 보다보니 또 스믈스믈 키워볼까? 하는 생각이 밀려오고...ㅜㅜ
.
좀 더 자신이 생기기전까지는 계속 고민을 해보는걸로..ㅋ
. 길 위의 집사이야기
최근에 개봉하는 고양이 영화들 중, 다른 영화들은 고양이와의 교감에 대해 이야기하고 있는데 왜 한국에는 이러한 영화가 없고 다큐멘터리식의 영화만 보일까? 란 한 관객분의 질문이 떠오른다.
⠀
감독님과 프로듀서, 사진작가님의 답변이 너무 안타까웠다. 이런 길고양이의 힘들고 척박한 이야기를 할 이유가 없다는 것이다. 세계 어느 나라를 가봐도 고양이가 도망가는 나라는 우리나라가 유일하다고 한다. ""이 고양이는 겁도 없네, 도망도 안가네?""라는 말이 나오는 것 자체가 안타깝다. 보기 싫으면 없애버리는 것이 아니라 우리에게 해가 되지 않고 공격적인 동물이 절대 아니라는 캠페인이나 인식이 필요하다는 이야기도 덧붙이셨다.
⠀
2013년 길고양이의 수는 25만 마리였으나 2019년에는 11만 6000마리로 줄었다. 고양이 개체수가 줄자마자 실제로 쥐에 대한 민원이 현저히 늘었다고 한다. 고양이는 병을 옮기거나 하지 않지만 쥐라면 이야기가 다르다. 통계가 이야기를 해주고 있다. 고양이가 해롭지 않다는 것을.
⠀
또한 고양이에 관한 영화에 대한 투자자들을 찾기가 힘들다는 실질적인 이야기도 하셨다. (실제로 감독님은 은행의 힘을 빌려 영화를 개봉하였다고 하시니...텀블벅도 진행하셨다)
⠀
'공존'에 대해 이야기하고 싶었다고 하셨다. 사람과 사람, 동물, 자연과의 공존 이야기를. 그중에 소재가 고양이었던 것. 같이 살아가려면, 상대방의 입장을 바꾸어서 생각해보는 것은 어떨까? 왜 고양이들이 길에서 살게 되었을까? 무작정 배척하지만 말고 이를 이해해보려는 마음, 관심을 가지고 지켜보는 것부터 시작하면 어떨까?
⠀
계획은 따로 없었고 그저 기다림의 연속이었다. 고양이들을 만나고 그냥 영화가 만들어진 느낌이었다. 이 시기에 영화가 개봉하는 것은 큰 모험이고, 특히나 작은 영화들이 개봉한다는 것은 정말 힘든 결정이다. 4년 전, 친해질 수 없는 고양이라는 고정적인 생각에 반하는 고양이 집사들, 길 위의 집사들의 이야기를 담고 싶다고 생각했다. 고양이 집사를 보고 사람들이 작은 위로를 받았으면 좋겠다.
⠀
⠀
임수정님의 편안한 목소리와 함께 무뚝뚝한 듯하지만 고양이들을 살뜰할게 챙기는 집사분들의 모습이 너무 보기 좋았다. 마음이 따뜻해지기도 했고... 누가 시켜서 하는 것이 아니고 정말 자신들이 좋아서 원해서 하는 일들이기에! 고양이를 좋아하시는 분들이라면 놓치지 않으셨으면 하는 영화?"
마빈의 방," 사랑하는 가족이기에
1996년에 제작된 <마빈의 방>은 젊은 시절의 레오나르도 디카프리오가 출연해 관심이 생긴 작품인데, 메릴 스트립은 물론이고 다이앤 키턴까지 출연해 더욱 보고 싶게 만들었다.

가족 이야기를 담백하게 풀어내서 좋았다. 버리고 떠났다 돌아온 갈등 요소에 갑작스레 걸린 병이라는 소재는 한국 영화였다면 당연하다는 듯 신파로 끌고 갔을 테지만, 깔끔하게 끝낸 결말이 마음에 들었다.
리뷰 전문 보기 후회하지 않기 위해서는 내 삶을 2순위로 두고 헌신으로만 이루어져야 하는 게 정당한 걸까 21 05 19 꼬일 대로 꼬인 가족사에 대화를 얹어, 거울로 인해 반짝이는 방 안에서 점점 서로를 이해하게 된다. 가족이기에. 아주 잠깐이지만 미움도 다툼도 멈추는 마빈의 방 색감이 사랑스러운 영화"
내 귀가 되어줘, 도전하는 배우 장동윤 결핍이란 소재를 담담하게 풀어나가는 장동윤의 연기력
학살된 구토 인형들," ""포르노"" 혹은 ""장르""영화적인 재미는 있겠으나, 장르""영화""적인 재미는 부족
물론 이 영화는 역사상 가장 잔인하고 끔찍한 영화 리스트에서 항상 상위권에 선정된다. 개인적으론 이거보다 훨씬 더 역한 고어물이 훨씬 더 많다고 생각하지만, 뭐 그래도 수위가 엄청 쎈 건 사실이다. 다만…… 고문 포르노, 하드고어, 슬래셔 등등 그런 장르도 나름대로의 형식과 미학이 있는 법이다. 나름대로의 계산으로 만들어야 한다는 말이다. 우리가 잘 알고 있는 여러 공포영화들도 그렇게 고심해서 만들었기에 성공한 것이다. 이걸 락에 비유하자면, 나는 마릴린 맨슨, 슬립낫, 카니발 콥스 등등 그런 밴드처럼 잘 만든 메탈을 선호한다. 하지만 이 영화는 마치 GG 알린이나 애널 컨트 같은 그런 밴드처럼 무작정 소음만 내지르는 음악과 같다. 그런 음악도 나름의 장르적인 매력 덕에 팬층이 있긴 하지만, 그래도 완성도적으론 떨어질 수 밖에 없다. 이 영화도 당연히 그런 셈이다. 무조건 잔인한 것만 나열하는 것이 능사는 아니란 말이다. <호스텔>이 이것보다 훨씬 더 수위가 약함에도, 그 영화가 훨씬 더 흥행할 수 있었던 것엔 이유가 있다. 영화 아님"
죽음의 룰렛, 진실을 알게 될수록 심드렁해지는 마음. 그래서 이 행위의 끝은 깔끔한가. 혹은 다른 불편함을 낳는가.
언더 더 베드," 공포영화가 가져야할 설득력이 사라지면서 영화 자체의 흥미나 몰입감이 증발해버렸다.
공포영화가 가져야할 설득력이 사라지면서 영화 자체의 흥미나 몰입감이 증발해버렸다. 진부하고 교훈만 가득한 이야기를 어찌어찌 이어나가본들, 영화의 후반부에 등장하는 조악한 수준의 크리처와 한심한 공포연출은 도무지 말이 되질 않는다. 무섭기보다는 실소가 나오는 조잡함이 황당한 영화."
팝 역사상 가장 위대한 밤, 다시 되돌아 볼 수밖에 없는 현실
프로비넌스,
"메크툽, 마이 러브: 인터메조",
슈퍼배드 4,
길복순," 영화 메시지만 2023년이면 뭐하냐 완성도는 지난 세기인데 박훈정 감독의 '마녀' 때와 같은 충격을 선사하는 스타일리시가 느껴지는 작품. 드라마에 이어 영화까지 2023년 1분기를 사로잡을 배우는 전도연이 되지 않을까 싶다. 분위기 좋은 고급 레스토랑에 3분 짜장이 웬말. '킹 메이커' 를 보고 겉멋이 빠진 줄 알았더니... 상황, 캐릭터, 대사들이 보는 사람을 부끄럽게 한다. 액션장르지만 액션이 제일 별로인게 아이러니 영혼은 없고 가이리치 버터만 온통 발라졌다. 베끼는 것도 부지런해야 창작이 되는데 개인기만 춤을춘다. 존윅과 킬빌??한국식 모성애 퀴어 액션 킬러극 존윅 4 개봉 직전에 등장한 K-존윅. 강아지 대신 모성을 담아낸 것까지는 좋았다."
