titles,reviews
쉘 위 댄스, 아무리 그래도 제니퍼는 아닌 영화 정신적 바람이 아니었던 척 하지 맙시다 아저씨 원작이 중년의 위기와 삶의 의미를 되찾는 과정을 담담하고 코믹하게 그려냈다면 헐리우드판은 좀 더 예쁘고 동화같은 재미가 있다!! 보면서 나까지 행복해져서 좋았다!! 나이가 드니..나의 불행을 배우자에게 이해시키기란 힘들다고 느끼고 감추고 살았는데 이 영화는 그런 내 감정을 깨워준 영화다 생선회와 팝콘을 함께 씹는 기분
바튼 아카데미,".
'바튼 아카데미'는 70년대 한 사립 기숙학교의 겨울방학동안 학교에 남은 학생과 교직원들에 대한 코미디 영화다. 알렉산더 페인 감독은 이번 영화에서 '죽은 시인의 사회'와 '조찬 클럽'의 조합과도 같은 재치있고 웃기면서도 깊이 감동적인 이야기를 펼친다.

성적은 좋지만 맨날 사람들 성질을 긁는 문제아, 성격이 괴팍하고 학교에서 책에 파묻혀살기만 하는 교사, 그리고 최근에 비극을 겪은 학교 주방장. 각기 다른 사연과 삶을 가진 세 인물은 겨울방학동안 고급스러운 사립 기숙학교를 홀로 지키게 된다. 어쩔 수 없이 매일 서로를 보고 대화를 하게 되는 이 인물들은 이야기가 전개되며 서로의 모르던 부분들을 알게 되고, 그 과정에서 각자의 괴팍한 성격 뒤에 숨기고 있던 우울, 고통, 그리고 열정들을 꺼내보기 시작한다. 배경과 인물들의 관계에서는 '죽은 시인의 사회'가 떠오르기도 하지만, 언제나 웃음이 끊이지 않고, 귀엽고 희망적인 에너지가 있는 분위기에서는 오히려 '조찬 클럽'과 더 비슷하게 느껴졌다. 특히 80년대 드라마 영화들을 연상시키는 알렉산더 페인의 연출 때문에 더욱 그러하다.

폴 지아마티, 도미닉 세사, 다바인 조이 랜돌프의 케미와 연기는 그야말로 일품이며, 확실한 개성과 미워할 수 없는 매력을 내뿜으면서, 너무나도 인간적이고 진실된 나약함을 보이기도 한다. 그렇게 영화는 혹독한 추위 속에서 서로를 안아주고 위로해주면서, 서로를 바라보며 자기 자신도 바라보게 되는 인물들에 대한 굉장히 감동적인 인물 드라마를 펼치게 되며, 웃음과 감동의 황금비율을 맞춘다. 데이빗 헤밍선 작가의 대사들에 감탄할 수 밖에 없었으며 마크 오턴의 연말 분위기가 물씬 나는 스코어는 '나홀로 집에' 사운드트랙처럼 크리스마스 연말의 따스함과 부드러움을 영화 곳곳에 은은하게 퍼뜨려줬다."
사운드 오브 프리덤,"정치를 떠나서 그냥 밋밋하다
드디어 이 논란 많은 영화를 보게 되었다. 극우논란 종교논란 미투논란 음모론 등등 온갖 복잡한 이슈들이 한번에 엉켜버린 그 영화 말이다.

너무 민감해서 뭐 어떻게 얘기해야 할지도 모르겠다. 마치 전류를 연결한 실뭉치를 풀어내야 하는 것과도 같다. 어떻게든 조심스럽게 풀어내려고 해도 애당초 논란이 전기처럼 찌릿찌릿 터져서 안 아프게 풀어낼 수가 없다.

감독과 제작진은 이게 우익진영과 연관되어버린 상황에 굉장히 화가 난듯하다. 그럴 수밖에 없다. 애당초 정치적인 색채를 아예 싹 배재하면서 만들었는데, 의도와 다르게 트럼프 같은 놈들이 이 영화를 홍보하면 당연히 잔뜩 열 받지.

어쨌든 일단 “재미” 자체로만 따져보자면, 재미있지도 않았고 지루하지도 않았고 그냥 그랬다.

영화 외적으로 보면 논란스러운 게 잔뜩 바가지인데, 의외로 내적으로 영화 자체로는 너무 밋밋하다고 할까나?

근데 문제는 이 영화는 포커스를 한참 잘못 잡았다는 생각이 강하게 든다.

예를 들어서 극우선전영화처럼 만들었을 수도 있다. 온갖 자극적이고 논란 많은 장면들을 잔뜩 한 바가지 넣어서 공분을 일으키는, 그렇게 후추와 고추가루 잔뜩 뿌리는 방향으로 만들 수도 있다. 하지만 이 영화는 전혀 그러지 않았다.

아니면 <아르고> 같은 작품처럼 정치를 떠나서 매우 전형적이고 현란한 스릴러영화로 만들 수도 있었을 테다.

아니면 1990~2000년대 제리 브룩하이머 감성 마초적인 액션영화 스타일로 만들 수도 있었을 테다. 그게 너무 올드하긴 해도 재미는 확실히 보장할 테다. 제임스 카비젤은 원래 그런 류의 영화에 많이 출연했었다.

아니면 <스포트라이트><조디악> 같은 작품처럼 자극을 최대한 절제하고 오로지 수사와 추적에만 온전히 집중하는, 흔히 말하는 작가주의적인 영화로 만들 수도 있었을 테다.

하지만 이 영화는 그 어느 것도 아니다. 충격적이거나 자극적인 장면을 최대한 배재하려고 하고, 고발 같은 것도 별로 없고, 오로지 “실제인물의 영웅적인 발언과 모습”에만 영화의 모든 것을 쏟는다.

이게 매우 한참 오산이었다. 뭐 자극적인 아동 성착취 고발 내용도 별로 없어서 재미없고, 스릴도 없고, 그냥 신파만 잔뜩이어서 영화가 전반적으로 0차원적이다. 밋밋하지도 않고 그냥 느낄 감동도 애당초 없다.

게다가 이 영화의 실제인물 역시 마찬가지로 행실이 좋지 못하고 성희롱이나 즐기는 인격파탄자라는 것이 밝혀졌다. 그런 시점에서 이렇게 영화를 찍는 것은 전략실패가 되었다. (흥행은 했지만)

<바비>를 예로 들자면, 난 그 영화의 메시지에 100% 동의하지는 않지만, 그래도 자기만의 소신에 맞게 꿋꿋히 일관적인 방향으로 페미니즘 영화를 만들었다. 그래서 영화 내적으로 외적으로 재밌는 부분이 많다.

하지만 이 영화는 애시당초 소신이라고 할 것도 없이 그냥 단편적인 생각으로만 만들었던 것 같다. 그래서 극우논란이고 뭐시고 다 떠나서 그냥 재미가 많이 떨어진다. 재밌어요 👍 실화라는게 놀라운 영화."
신세기 에반게리온 - 데스 & 리버스, 아스카 내 맘에 상륙. 본격 우려먹기.
괜찮아 괜찮아 괜찮아!, 웃는 얼굴로만 다가오는 영화. 첫 장편 데뷔작임에도 불구하고 우수한 영화였다.
리버레이션: 천진 대전투, 중국의 대표적인 국뽕영화 체재 유지를 위해 애국에 호소하는 작품을 많이 만드는데 그중 하나다..과장된 애국심과 충성심이 그냥 여기저기 보인다. 마치 선전용 대형 그림 처럼..
레스토레이션 포인트,
내 친구 어둠,
반유키,
슈퍼 마리오 브라더스,"이 영화는 슈퍼마리오란 게임에 대한 헌사. 우리들의 추억을 아름답게 포장해 선물한 작품 영화를 보며 행복감에 젖을 수 있다면 그게 좋은 영화. 잘만든 작품이 아닐까?
저는 사실 영화를 보지 않을 생각이었어요.
게임을 영화로 만들면 망한다는 징크스를 믿게 되었을 만큼
실제로 그런 사례들이 많았고, 마리오와 함께했던 어린 시절의 추억을
훼손하고 싶지 않았거든요.
이는 제가 어린 시절 마리오라는 게임을 정말 좋아했었기 때문도 있지만
첫사랑의 상대를 지금 다시 만난다고 그 때의 벅차오르는 감정을
느낄 수 있는 게 아닌 것처럼 어린 시절의 마리오 만큼은
그냥 그렇게 그 때의 시절 속 가장 멋진 게임으로 남겨두고 싶었습니다
하지만 영화 마리오 브루스를 우연찮게 관람하게 되었고
이 영화는 추억에 대해 보수적이었던 제 생각과 개념을 완전히 부숴버렸습니다
소닉이나 포켓몬스터처럼 난해한 실사화도 아닐뿐더러
부족한 개연성을 채워 넣으려고 애쓰지도 않았고
월드오브워크래프트 처럼 긴 서사의 스토리를 구겨 넣으려 애쓰다가
정작 게임과는 너무 다른 느낌의 연출을 보여주어 잠이 오게 만들지도 않았어요
""마리오가 가지고 있었던 친숙한 느낌과 단순 명료함""
게임을 플레이를 하면서 우리가 보고 겪었던 모든 플레이 방식과 스테이지를 공략하며
느꼈던 희열을 영화라는 매체를 통해 그대로 전달해줍니다
영화 마리오는 영화를 영화로 연출 하기위해 게임 아이피를 이용했다기 보다
게임 그 자체를 영화로 만들기 위해 애쓴 영화입니다
때문에 스토리는 다소 빈약하고 작중 인물들의 행동 동기나 개연성은 거의 없어요
하지만 저는 이걸 잘못이라고 보지 않습니다
영화 같은 영화는 무엇이고, 게임같은 게임은 무엇인지를 따지기 전에
영화 게임과 같은 콘텐츠를 우리가 왜 보고 즐기는지가 더 중요하지 않을까요?
우리는 그저 함께 즐길 수 있는 콘텐츠로써
영화나 게임을 소비 하고 있는 것이며
여기서 오는 즐거움과 행복감을 느끼고 싶은 것이지
감상문을 쓰거나 이를 평가하고 싶어서 소비하는 게 아닙니다
그러니 마리오라는 영화의 평가는 얼마나 영화적 요소를 완벽하게
갖췄는지에 대한 내용이 아니라
이 영화를 소비하기 위해 영화관을 찾는 대중들이
마리오라는 영화에 어떤 것을 바라고 있는지
영화를 통해 뭘 보고싶고 어떤방식으로 자신의 추억을 소구하고 싶은지가
가장 중요한 포인트이고 이런 내용이 영화의 평가 기준이 되어야 하는겁니다.
마리오는 그저 그런 평범한 컨텐츠나 아이피가 아닙니다.
아케이드 게임의 기준과 시작이되는 게임이었고
전세계 살고 있는 모든 우리들의 마음속 우상과 어린 시절 그 차제였어요
그러니 마리오란 영화의 평가는 ‘마리오’만의 평가 기준과 특수성이 필요한 것이며
지금의 평론가들의 방식은 완전히 잘못되었다 볼 수 있습니다
마리오란 영화는 분명 우리가 원하는 걸 보여줬으며
행복했던 그때로 우리를 다시 데려다 놓았습니다.
보는 내내 심장이 벅차올랐고 그때를 생각하면 아직도 행복한 감정이 물밀듯 밀려와요
영화를 보고 온 사람이 행복한 감정을 느낄 수 있었다는 것
그거면 콘텐츠로써의 제 역할을 다 한 것 아닌가요?
그러니 마리오를 사랑했고 마리오를 단 한 번이라도 플레이한 유년 시절을 보내셨다면
이런 평론가들의 주관적인 잣대와 겉멋에 취한 평가에 흔들리지 마시고
여러분들의 사랑했던 마리오가 어떤 모습으로 우리를 만나러 돌아왔는지
두 눈으로 직접 확인하셨으면 좋겠습니다. 게임한판 하는듯한 재미를 준다 분명 유치한 스토리지만 재미는 기대 이상 아이들이 상상하는 머릿속을 들여다보면 이런 느낌이 아닐까? 마리오 형제가 일상 속에서 갑자기 이상한 세계로 들어간 것처럼 직접 게임 속에 들어가 상상의 나래가 눈앞에 펼쳐진 기분. 맞아, 마리오가 나오는 게임을 했었지. 그리운 걸. 놀란 건 그들은 마리오의 이름을 어떻게 알았을까, 여러 방향에서 액션을 보는 쾌감과 어라 되게 빨리 넘어가네의 순간이 교차한다."
