titles,reviews
석세션 시즌 1,"내 인생 드라마 ㅋㅋㅋㅋㅌ보는동안 내내 스트레스 받으면서 봤는데 막화에서 스트레스가 풀려나가는 이 느낌은 뭐지ㅋㅋㅋㅋ제레미스트롱 연기 진짜 후덜덜하다..침대에 누워있는 내가 다 소름돋음이렇게 아름다운 화면과 연기력으로 블랙코미디를... 재벌, 정치의 풍자로 미국의 단면을 표현한다.콩가루 가족.석세션 시즌 1(Succession Season 1)음악 연출 배우들 연기 하나 빠짐 없이 너무 재미있고 이건 새 시즌 나올때마다 시즌1부터 다시봄. 일반적인 재벌드라마와 급이 다르다.ㅋ웨이브 존재의 이유… 시즌 3도 업데이트 해주세요재벌 막장 스토리도 돈과 연출이 곁들여지면 '예술'이 될 수 있다부자 얘기보다.. 어떻게 저렇게 매 상황마다 바보같을 수 있을까, 저 배우들 혹시 실제 인생에서도 바보가 아닐까 의문이 들 정도로 수작풍자가 잔뜩 가미된 재벌가의 하우스 오브 카드. 빠른 전개와 긴장감으로 몰입감이 엄청나다. 각본과 음악이 특히 인상 깊다."
우리들의 사계절,이게 진짜 미들에이지크라이시스다!!!
"그래도 나는, 아내와 하고 싶다",
수상한 파트너,
빌어먹을 세상 따위 시즌 1,"필수 영드. 불편하지만 귀엽고 사랑스런 드라마 아직도 안보셨나요?다른 분들은 모르겠는데 개인적으로 보면서 힐링 됐음.. 남주와 여주의 사랑에 관한 이야기도 그렇고 분위기도 좋고.. 걍 다 좋음..♡완벽히 틀어져서 오히려 딱 맞는다오묘한 분위기에 취한다. 짧은 러닝타임덕에 한 시즌을 뚝딱 보기 좋다. 사운드트랙과 피폐한 분위기가 매력적이다.자신의 처지에 대한 실망과 분노가 너무 커서 정작 삶의 다른 지지대를 잊고 있지는 않은가.가장 비참한 삶의 모습을 적날하게 보여주는 드라마이다.분위기나 대사, ost마저 너무 내 취향 탕탕탕이라 좋았음ㅠㅠㅠ 시즌2까지밖에 없는데다가 한 화당 30분정도?라서 하루만에 깔끔하게 달리기 좋은 드라마임!❤진짜 아버지를 찾아 길을 떠나는 소녀와 소녀를 따라나서는 사이코패스 소년의 이야기"
강매강,"너무 잼있다. 처음만 보고 유치하다고 하는 평도 많지만, 보면 볼수록 매력있는 드라마. 처음엔 강력반 형사들이 왜 이렇게 어리버리하냐고 했지만, 보면볼수록 매력있는 캐릭터들이다.B급 코미디를 좋아하지만 그래두 이건 아니잖아? 장난해? 란 생각이 자꾸듬. 진지와 코미디를 적당히 섞어야지 드라마를 장난으로 만들었네요.코미디를 막 시작한 신인같은 느낌의 드라마. 너무 힘이 들어간 나머지 부자연스럽고 과하다고 할까? 경찰을 세상 바보천치로 만들어서 웃기기보단 답답함이 먼저 든다.재밌어요 편하게 보기 좋습니다재밌어요! 소소하게 웃긴 요소들도 있고, 부담없이 볼 수 있어서 좋아요 수사물 좋아하는데 재밌게 잘보고있어요!컨셉에 충실한 코믹수사극. 발전할 여지가 있지만 정성스레 빚은 B급 수사물이라니 이런 시도를 너무나 응원한다.개그코드기 맞아서 간만에 웃음 터지게 본 b급 드라마 ㅋㅋ 가끔 뇌절만 아니면 충분히 힐링될만한 드라마라고 생각합니다. ^-^이것 또한 다른 재미입니다.강력하진 않지만 매력있어요. 첨엔 뭐 이런... 1편 보던 중 하차했다가, 얼마 전 우연히 보게 됐는데 서너편 보다 보니 편안하게 재밌습니다. 배우들도 즐거워 보여요.초반에 유치한 B급 유머코드에 적응하면 그게 또 나름 재미가 있음. 수사보다는 매력적인 캐릭터들의 이야기가 주 내용. 배우들의 과장된 듯 천연덕스러운 연기도 재미포인트.정신 없고 산만하기 짝이 없다. 알고보니 코미디? 시트콤에 가깝다. 수사물을 엉성하게 끼운.80년대 유머일번지에서 본 듯한 유치하고 과장된 몸개그에 구토가 나올 것 같은오랜만에 보는 K-시트콤 스타일의 드라마!♡제목이 내용과 찰딱궁합임. 강력한 한방이 있는 스토리는 아니지만 소소한 개그와 배우들의 능청스런 연기가 매력적이다. 레트로 감성을 지극히 의도적으로 자극하는데 아주 좋다.왜 SBS가 편성을 안했는지 알수있는 드라마? 분명 좋은드라마는 맞는데 애매해 그렇다고 막 재밌지도 안아 웃음은 나는데 어이없는 웃음!진지함이란 없이 웃음만 가득 채운 드라마. 아무생각 없이 틀어놓고 보면 웃기고 각 잡고 보면 장난해?가 나온다유쾌하고 따뜻한 시트콤 같은 드라마 시즌2 원츄!유치하지만 너무 매력적인 캐릭터들 시즌2 고대합니다처음엔 적응 안 되는데 볼수록 재밌는 중독성B급 코미디를 즐기는 당신에게 이 드라마를.서형사 민서짱~♡ 강매강팀 알라뷰~ㅎㅎ무겁지 않은 형사극이라 좋음ㅋ 특히 이런류는 캐릭터가 생명인데 다좋아^^시트콤이라고 생각하고 보면 괜찮은 편인 듯. 다만 아이들은 등장하지 않는 게 더 재밌을 듯. . . 점점 내 취향이 되어감.ㅋㅋㅋ 부작용이라면 꿈자리가 사나워 질때가 있다는..ㅜㅜ사차원 매력의 강매강 캐릭터들이 주는 흥미포스터부터 어떤식인 드라마인지 보여주는 드라마. B급 코메디의 향연. 티저 보고 자신에게 맞는지 판단 하세요. 호불호 갈립니다거의 4달 걸리긴 했지만 밥먹을때 간간히 보기 좋았음."
사랑은 외나무다리에서,"결국 나도 주지훈때문에 보는 거긴한데 사실 이런 내용은 2,30대 초반의 배우들이 하는거 보고 싶음.....🥲 마흔 목전에 둔 배우들은 다른 사랑얘길하면 좋겠어...40줄 배우들의 사랑치곤 유치해요서사는 좋아 코믹한 부분은 웃기고 진지한 부분은 당분간은 적습니다 어린때 랑 성인때 랑 뭔가 다 끌리는 게 있어 취향에 따라 다를 수 있지만 다 잡았으면 좋겠어유치하지만 사랑은 원래 유치한거니까 재밋어요ㅋㅋ스토리가 촌스럽고 식상하네요. 연기 잘 하는 주지훈 배우보며 참으려고 했는데, 대본이 심하네요.저 배우들을 데리고 이렇게밖에 못하다니… 지루어째서 정유미?주지훈이랑 정유미가 너무 잘 어울려요. 딱 하이틴 로맨스 책 보는 것 같음. 살벌한것들만 보다가 보니까 힐링되고 행복했음! 주지훈 넘나 멋있어요~~주지훈 배우의 하찮은 이사장님과 윰블리의 합이 생각보다 좋았고 다음화가더 기대됩니다 아역배우들의 상큼한 연기도 넘 좋았어요 심각하고 인상 쓰는일이 많은 드라마만 보다 힐링됩니다유투브 통해흘러들어와 5화부터 봤는데 아역 배우 주지훈정유미도 케미좋고 연기합도 굿. 석지원 대사들 중 힐링되는 대사들 좋음. 다만 11-12를 허겁지겁 풀어내 16화가 더나았듯주지훈 배우님의 오랜만에 로코라 좋았지만 서사도 너무 길고 결혼식도 안 보여준 결말이 아쉬워요..ㅜ배우들의 로코 연기와 연출, 음악은 정말 탁월. 스토리는 어딘가 옛날 스타일에 메인 서사 분량이 절망적. 12부작의 패착이 그대로 보인다. 16부로 하든지 조연 서사를 잘랐어야지용두사미... 용두?도 잘은 모르겠지만 이야기를 모두 자세히 풀려고 하다 보니 메인 서사가 많이 흐려진 느낌이었어요. 유미 배우님 스타일링도 아쉬운 부분이 많았습니다.ㅠㅠ작지원.. 많이 사랑하고 애틋했다🥹🫶🏻주지훈 배우와 정유미 배우의 로맨스는 안 궁금한데 어린 석지원과 윤지원의 미래가 궁금해서 본다. 아역배우들 부분이 더 재미있음....처음엔 유치해서 대강 보다가 점점 빠져들어서 완결을 맞는 작품! 둘의 서사가 너무너무다남주여주 연기가 많이 어색하고 스토리가 어디서 많이 본건 같은 유치하고 전체적으로 불편하고 최악의 로맨스 들마주지훈 애비 유치함 역겨운거 말곤 정유미가 왜 윰블리라고 하는지 새삼 알게되는 작품 오랜만에 정유미 작품 보는데 40이 넘었는데도 러블리해서 로맨스 여주 현역해도 충분할 정도아름다운 사랑이야기임 스토리도 은근 좋고 배우들 연기도 너무 좋은 듯윰블리+주폭스 너무 잘어울려서 미춰버리겠네내용이 조금 유치하긴 했지만 주지훈 배우님때문에 본거니 후회없이 재미있게 보긴 했네요완벽한 닉주디의 유치찬란 로맨틱코미디 나름 재밌었다. 주말 킬링타임용 닉주디가 코믹도 잘해♡저런사랑 받고싶당로코의 여왕 정유미배우님이 나와 기대하고 봤다가 진부한 평범한 로코내용이라 살짝 아쉬움이 느껴졌다.너무 재밌었음! 다만 아쉬운 점은 초반엔 느리게 전개 되었다가 후반부 되니까 점점 빨라진 점?나일 먹어도 여전히 예쁘고 사랑스러운 ‘윰블리‘ 연기를 감상했으니 만족!주지훈, 정유미 배우 모두 훌륭했는데 내용이 로코보다는 가족드라마 느낌이었음 ;; 개인적으로 주쥰 팬이라 본방사수는 했지만 내용 전개 측면에서 다소 아쉬움 ㅜ ㅜ걍 그럭저럭 약간은 시대에 뒤떨어진 듯 한 스토리고딩아역은 둘이 너무 애절하게 그려지는데 성인 남여 주인공이 웬지 안어울리고 몰입이 안되서 포기"
정숙한 세일즈,"가로막아버리면 날아 넘어가버리면 된다.드러난 소재 너머 깊은 속을 가진 드라마 장면하나 장소 하나 공들인 게 보임재미있게 보고 있어요. 요즘은 만화, 소설 원작들이 많은데 브리프 엔카운터즈 brief encounter 라는 작품이 있네요. 현재 볼 수 있는 채널은 없나봐요..신선하고 재미있다. 2화까지 만으로도 각색하면 한편의 영화를 만들어도 될 정도의 흥미로운 작품.진정한 페미니즘을 다룬 드라마. 신선한 소재를 현실적인 관계 속에서 코믹하게 잘 버무렸고, 배우들의 연기가 매우 찰지다. 막판에 엄마 찾기가 아쉽지만, 전체적으로 훌륭!1, 2화 최고로 재미있게 봤어요 갈수록 느슨해지긴 했는데 그래도 볼만해요 배우들이 너무 연기를 잘 해서 울다웃다 했어요 아쉬운 점은 90년대 배경인데 소품이나 80년대같았어요1~2화는 너무 웃겨서 좋았지만 갈수록 계속 볼 흥미가 떨어져. 마지막 2편 남기고 하차함초반은 정말 좋았다 그치만 가면 갈수록 재미없어지는 대본…동백꽃 필 무렵이 정말 잘 만든 드라마라는걸 다시 생각하게 된다소재는 좋은데 왜 이렇게 재미가 덜하지......딱 절반만큼 재밌다. 신선한 소재로 극을 이끌지만 너무 곁가지가 많다. 초반 방판때 그 아이디어와 기개는 다 어디로 가고 내내 축축 처지는걸까중년의 나이가 되고나니 중년의 여배우들이 나와 말아주는 극의 재미가 나의 삶과 나의 감정들과 오버랩 되면서 힐링되고 위로가 됩니다. 나의 삶에 위로와 공감과 웃음을 줘서 감사해요♡금기시되는 소재를 부담스럽지않고 유쾌하게 풀었다. 초반전개가 답답하지만 오랜만에 육성으로 웃었다.유쾌해서 좋았다경계를 넘지 못하고 전봇대줄에 걸리고 말았지만, 풍선을 날린 시도만큼은 긍정적으로 봐주고 싶다.너무 가볍지도 너무 진지하지도 않은 적절한 드라마. 거슬리는 점이 없어서 즐겁게 보기 좋았다.재밌음 편하게 보기 좋음~"
가우스전자,"킬링타임 용으로 너무 좋다. 시간 가는 줄 모르고, 빵빵 터지먄서 정주행했다.마지막에 조금 부족했지만 편하게 웃으면서 볼 수 있었다 유쾌했고 전개도 빠르고 만족스럽다! 이런 드라마가 더 많아지면 좋겠다..:)웃김와 아주 병맛에 제대로 골때리게 개재미있어요. 무조건 보세요.ㅎ웃김간만에 시트콤 느낌으로 재밌게 봤다. 후반부로 갈수록 좀 재미가 떨어졌지만 웃고 즐기기에는 부족할 게 없는 스토리. 이제 곽동연 얼굴만 봐도 웃긴 상황.제대로 웃기고, 중독성 강합니다.엄청 재미있음가볍게 부담없이 웃으면서 볼 수 있는.하루만 있어보고 싶은 가우스 전자 마케팅 3부병맛 내스퇄원작과 차이가 많지만 유쾌하고 즐겁게 볼 수 있어 좋았음.흔해빠진 드라마씬에서 그래도 나름 신선했던 이야기 재미있는 캐릭터들의 환상의 우당탕탕 소란극 볼만했던 정도의 코믹한 드라마정말 깔깔대면서 보던 웰메이드 코메디 드라마에요연기를 떠나서 상식이의 캐릭터가 원작과 조금 달라서 처음엔 어색했지만 유쾌하게 잘 풀어냈다.너무 재밌어요이게 왜 재밌지?자연스럽게 재미있고 기분 좋은 웃음을 유발하는 드라마. 가볍지만 무게가 적당히 있고, 쉽지 않은 것을 쉽게 해서 좋은 드라마.시트콤으로 진짜 최고였던 드라마. 그리고 왜 로맨스 장면에 다른 드라마보다 설레게 하는데!! 진짜 다시 한번 보고싶었던 드라마!즐기기 딱 좋은 코믹 드라마.이런 드라마가 더 많아졌으면, 성공했으면 좋겠다#간만에 발견한 위트있는 톤이 느껴지는 드라마.욕 하나는 찰지게 잘 빠진 코미디.2016년도 마음의소리 드라마랑 비슷한 느낌. 로코물인데 코미디에 방점을 찍은. 나 이런 류 좋아하네. + 숨은 조정치 찾기..한 번에 정주행재밌었는데 가면갈수록 별로이다가 끝마무리는 너무 올드한 스타일..최고의코미디 최고의 로맨스"
본즈 시즌 1,보고싶어서 엄청 찾았던 미드!
