titles,reviews
소년시대,"웃으면서 본 작품. 배우들 연기조합도 좋았어요^^임시완배우의 재발견!! 자꾸 맴도는 사투리 어쩔겨유~~ 모든 배우들의 찰떡같은 연기에 시간가는줄 모르고 재미나게 본 드라마누구나 갖고 있는 흑역사와 그 성장기 큰일났다 사투리 옮았어유.. 이이!병맛스런 코미디가 감독 이명우와의 합으로 더욱 큰 시너지가 발휘되어 주된 내용과는 별개로 재밌게 느껴진다임시완배우의 모든 걸 내던진 연기에 박수를👏🏻👏🏻👏🏻 그시절의 괴롭힘도 만만치 않았겠다 싶어서 안쓰럽네 조.단역 배우분들 너무 연기 잘하셔서 좋았다어쩜 사투리를 저렇게도 웃기게 잘하는지 ㅋㅋ 한동안 충청도사투리에 완죤 푹 빠져버렸구만유 ㅋㅋㅋㅋ 흑거미 넘 매력적이에유♡보고나면 입에 사투리가 절로 붙는다 ㅋㅋㅋㅋ 사투리의 매력도, 그걸 연기하는 임시완의 매력도 같이 느낄 수 있다.충청도 사투리가 기본으로 웃겼고, 깨살같은 대사들과 연출도 돋보였던 작품. 벌써아침이라구요?🤭몰입감 최고!! 임시완의 연기변신 스토리가 굿2023 하반기 최고의 작품!요즘 이드라마 때문에 금요일까지 버틴다 임시완 이런 코믹도 잘 해버리네 못하는게 읍써연기가 다 좋았구먼유~진따인줄 알았던 내가 일찐짱?!너무 좋아서 한번으로는 못 끝내는 드라마. 병태 못 보내....뜨거운 여름의 향을 맡을 수 있습니다 소년들의 그 계절을 느껴보세요As Yim Siwan always does, he completely transformed into ByungTae, an adorable dork! Hilarious & fun임시완배우님 백상 대상 미리 축하드립니다 👏👏👏고향이 충청도는 아니지만 비슷한 시대배경에서 자라서 향수돋았고 임시완 병태연기가 너무 훌륭함. 온양찌질이가 아니라 부여청룡으로 거듭난 서사 눈물버튼 ㅠ아 만점 갑니다.. 병태 좀 븅태 같지만 숨겨진 미친 외모 덕분에 눈도 즐겁네용~ 내용 자체가 그냥 재미있습니다! 꼭 보세용임시완이란 배우는 믿지만 작품에 대한 기대는 솔직히 하나도 없었는데 ㅋㅋㅋ K드라마 현폼 원탑 수준이네요🤣 너무 재밌게 보는 중(보는 중) 무빙에 이어 플랫폼이 아쉬운 웰메이드 드라마 영화로 치면 극한직업? 웃음이란 토끼를 목표로 삼고 집요하게 쫓는다 소년시대 1,2화 보면서 올해 제일 많이 웃었음개인적으로 그 나이대에 맞는 연기를 해야한다고 생각한다... 임시완이란 배우가 얼마나 잘하는지는 당연히 알지만 고등학생 연기라.... 좀 이상하다. 보고 판단해야지...이이! 아직 안 봤으면 어여들 봐. 찌질에서 열혈 소년으로 거듭나는 이야기에 흠뻑 빠져 보자니께!연기 잘해요! 임시완 너무 좋아요🥬💚 재미있고 신나요! 저는 금요일이 너무 기대됩니다 🍿임시완의 연기를 계속해서 보고싶게 만든 작품.진짜 임시완배우님은 진정한 연기자 그 이상이다!! 소년시대 인생작!!! 재미뿐만아니라 교훈까지!!임시완의 재발견. 충청도 사투리와 능청스러운 연기가 이렇게 잘 어울릴줄이야.. 보는 내내 배꼽잡으면서 봤다.이 정도면 조심스럽게 포스트 이병헌이라 불러도 되지 않을까? 잘생기고...키 좀 작... 배우 임시완의 한계와 매력은 어디까지인지 그 끝을 모르겠서요내가 사랑하는 배우들과 함께하는 기분좋은 시간"
쓸쓸하고 찬란하神: 도깨비,"겨울만 되면 생각나는 이야기. 서브커플에 마음 찢기고 메인커플에 눈물콧물 빼던 그날의 겨울로 돌아가는 OST. 역시 잘되는 드라마는 OST가 좋다.지금도 한번씩 찾아보는 최애 들마중 하나. 우리의 영원한 도깨비2016년 겨울 행복했던 여러분 , 저는 2024년 겨울 행복합니다.하 너무 갓벽한 작품. 판타지 별로 안좋아하는데, 보는 내내 행복하게 만든 작품 OST까지 갓벽👍👍인생드라마. 아직도 종종 보는 드라마. 사랑해요.메인 커플보다 서브 커플이 더 마음에 남은 이야기.기년이 흘러도 언제나 겨울이 되면 첫눈으로 올 드라마.어휴 말해뭐해 주인공 세명 비쥬얼부터가 이미 별 5개임... 결말을 향할수록 시청자 입장에서 아쉬운게 있긴 했지만...아직도 크러쉬의 뷰티풀을 들으면서 설레인다. 공유 김고은 이동욱 유인나 모두 더할나위없이 좋았다판타지, 러브 코미디 그리고 슬픈 비극까지 한국 드라마의 최고치.이게 진짜 웰메이드 드라마. 몇 번 봐도 안 질리는 참신함과 차진 대사들, 볼 때마다 새로 보이는 복선. 한국 최고의 판타지 드라마역시 김은숙 작가님!내인생에도 신이 머물다가는 순간이 있길 바라며~~ 너무재미있게본드라마 대사도 좋고~배우님들 연기도 너무좋고 코믹한요소들도 딱 내스타일인 내 최애드라마중 하나^^종영 후에도 10번 넘게 본 띵작.. 어설프지 않은 CG 덕분에 과몰입 가능한 도깨비 월드사람들이 많이보는덴 이유가있지겨울이면 몇번이고 찾아보는 꿈같은 스토리. 듣기만 해도 가슴이 뭉클하고 전율이 흐르는 OST까지 인생 드라마로 꼽을 만한 이유가 넘쳐나는 작품. 풍부한 연기와 대사가 명품. 추천~긴 호흡으로 험한 세월을 견더낸 판타지의 감각적 서사.명작 드라마도깨비 시청하는 모든 날이 눈부셨다. 판타지 세계관이 매혹적이고 ost도 모두 주옥같다. 인간의 4번의 생애 후에 도깨비는 어떡해 ㅠㅠ도깨비..다른 설명이 필요한가요?볼때마다 새로운작품을 보는듯한 신기한드라마..봐도봐도 질리지않아요.2024년 지금 봐도 재미있는 드라마...겨울마다 생각나는 드라마겨울엔 도깨비빨간 목도리만 보면 도깨비가 생각날 정도로 여운이 길게 남는 드라마이다. 김고은 배우님의 깜찍한 연기와 도깨비 그 자체를 연기한 공유 배우님이 자꾸 생각나게 된다. 난 아직도 비가 오면 도깨비가 떠올라 왜 슬플까 생각하고 날이 좋으면 오늘은 좋은 일이 있구나 생각한다. 주연커플도 좋지만 서브커플의 이야기마저 너무 잘 풀어낸 것 같다. 겨울의 시작은 항상 도깨비이다너무 뻔한 로맨스 판타지인데도 사랑에 빠지게 만드는 플롯과 배우들의 연기.배우분들의 연기력 스토리 OST 뭐 하나 빠지지 않는 드라마!공유 잘생김김은숙이 대상 받는 이유!"
가족계획,"진짜 올해 최고의 시리즈! 스토리, 연기, 분위기, 블랙코미디, 비쥬얼.. 뭐 암튼 뭐든게 다 특급! 넷플릭스에서 오픈 했으면 전세계가 열광했을텐데 아숩소년시대이후 쿠팡에서 제대로 된 작품나온듯. 배우들 연기 좋고 진행속도 빠르고 블랙 코미디인데 거부감 없음. 나쁜놈들 정신적으로 복수하기 때문에 보는이의 죄책감이 덜함.b급감성 무빙 마녀 졸잼 시트콤 재질나주 아줌마 연기 너무 맛있어진짜 개잼… 꼭보세요4화까지 너무 잼있게 보는 중 6화 완결은 너무 짧다 ㅠ 시즌2 나오리라 믿습니다캐스팅부터 ㅎㄷㄷ 이런게 오티티드라마지빌리보고싶어요진짜 존잼✨역시 배두나스럽다. 굿!짧고 확실한 전달력. 배우들의 개성들이 넘치는 특이한 매력을 가진 시리즈소재는 나름 키치하게 괜찮은데 대사 센스가 처참함.빨리 나오면 좋겠다.완전 노잼 계속 화면 전환하면서 사람이 바뀌니 집중 안되고 뭔 내용인지 모르겠음... 재미있다는 사람 바이럴인가;;일화보다 껐어요 배두나 보고싶어봤는데 일단 쌍욕이 너무 많고 고구마캐릭터와 연기가 걸리는 분들이 있네요 아 아깝다 배두나 왜…지어디서 많이 본 거 같은 스토리와 설득력이 없고 넘 폭력적이서 가족과 함께 볼 수 없고 로몬 남주 연기가 많이 부족한게 또 보고 싶어 지지 않는 들마재미있게봤어요특이한 가족구성원. 잔인한데 웃기고 웃기지만 생각할 거리가 많은. 시즌2. 갑시다아!!!제목과는 살짝 거리가 멀어보이긴 한데 간만에 본 드라마 중 수작에 속한다. 6편으로 짧긴 하지만 적절한 분량이였다.20년전 촌스러운 x발 x발 감성 연출도 각본도 오글오글 촌스러움..유치함으로 잔인함을 가리고 아무튼 계획대로 된 거라니까 답답함을 덮는다.마지막 반전 내 머리 순간 띵해지네너무 짧은 회차에 많은 내용이 생략됨너무 재밌음 ㅋ간만에 진존잼 한드 나왔네요스토리도 흥미진진하고 등장 배우들 연기가 미쳐 날뛰고있음개잼뭔가 허접하면서 다음이 궁금해지네요 ㅎ2편까지 봤는데 뭔 내용인지 모르겠다 배두나 류승범인데 뭔가있겠지싶어 보는중-"
어쩌다 발견한 하루,"김혜윤의 1인극. 멱살 잡고 끌어간다현실불가능 소재라 이런 작품은 결말을 어떻게 할지 너무 궁금한데. 결말도 이정도면 만족. 여주인공이 너무 사랑스럽다 :)너무너무 재밌어요. 김혜윤의 은단오 1인3역 대체불가 배우임. 하루와 백경의 신인시절 모습도 풋풋함. OST도 넘 좋음.극 중 김혜윤 배우의 귀여운 표현을 매우 좋아한다김혜윤이라는 배우가 얼마나 연기를 잘하는지 시청자를 끌고 만화속으로 자연스럽게 이끄는지 보여준 작품이였다. 사각 소리에 장면이 바뀌는 그 찰나에 빠져드는 판타지드라마♡♡유치찬란한 말도 안되는 이야기를 흥미진진하게 끌고나가는 김혜윤의 놀라운 힘. 자신을 잃고싶지 않은 엑스트라들의 노력이 때로 슬프게 느껴진다이재욱님의 발견. 로운님도 잘 어울렸던 것 같고 두 남자 배우의 케미도 좋았던 것 같고. 무엇보다 소재가 만화책 속이라는 게 신선했음.제목에 드라마 남주의 이름이 나오지만 은단오가 그를 찾지 않았다면 그는 드라마의 주인공이 되지 못했을 것이다. 연기적으로는 김혜윤이 이끌고 이재욱을 발견한 드라마남들은 여름 커프라고 하지만 내 여름은 어하루김혜윤 연기 왜이렇게 잘해 ...? 제법 유치하지만 너무 재밌게봤다 !!많은 걸 담고 있지는 않아도 노래랑 분위기가 진짜 다했다 뻔한 클리셰같으면서도 조금 달랐다Love this drama 🫶🏻만화를 빌려 인생의 방향을 말해주는 단오의 하루만화 속이라 그런가 아기자기하고 귀엽고 설레는 드라마김혜윤만이 할 수 있는 은단오~ 하루(로운) 백경(이재욱) 오남주(김영대) 요즘 드라마 대세 남배우 여기 다 있네요~김혜윤 연기 감탄하면서 본 드라마🥰대박~너무너무 재밌어요~ 김혜윤 연기는 진짜 최고~~I love all the cast...very entertaining overall단오와 하루.. 김혜윤 배우의 엄청난 연기 내공과 사랑스러움 귀여움을 볼수있었고 남자 배우들과 캐미가 너무 찰떡입니다. 아직도 안 보신분들이 꼭 !!! 보시기를 추천해요.내가 그녀를 관심가지게된 날지금 보니 김혜윤이 작품 고르는 눈이 꽤 좋음.배우들의 연기, 스토리, 연출 모든 게 완벽했던 드라마.독특한 원작과 김혜윤의 연기를 보는 것만으로 재밌다.재미있게 봤어요김혜윤 배우의 통통 튀는 매력과 연기 스타일이 최고조로 어울리며 뽐내질 수 있었던 작품, 당시에 참신한 소재와 연출에 재밌던 기억이 난다.김혜윤 배우가 매력적인 드라마여주인공의 1인극으로 시작했지만 다른 배우들이 나와 이야기가 이어질때 진전될때 흥미가 이어졌으며 노래가 맛집임어쩌다 OTT에서 발견해 풋풋한 향기로 하루를 함께했다.김혜윤 배우도 연기 잘해서 재밌었고 은단오역이였는데 시한부로 인해 힘들어하고 슬퍼하면서도 겉으론 밝고 착하고 활발한 캐릭터로 나오는데 보면서 안타까웠다. 드라마 자체는 재밌게 봤다"
업로드 시즌 1,"디지털 사후세계를 통해 자본주의를 신랄하게 까면서 미스터리 요소도 적절히 가미된 코미디 드라마재미난 소재 대비 밍밍하고 온순한 연출이 아쉽다, 그래도 작은 예산으로 기본 이상은 한거 같지만..참신하다. 다음 시즌을 봐야 정리가 될 듯.현실적인 미래 기술같아서 잼있게 봄전체적인 판단은 이어지는 시즌들을 보고 해야겠지만, 일단 미래 기술에 대한 상상력을 실제 현존하는 실리콘벨리의 테크 기업들과 접목시켜 시각화 해놓은 것만으로도 충분히 인상적이고 풍성하다."
더 그레이트 시즌 1,"러시아에서 '더 그레이트'가 되기 위한 요란법석 코미디남주가 너무 화나서 꾹 참고 봐야...처음에는 매우 당황스럽지만, 보면 볼수록 매력 있는 병맛 드라마.잔인한 장면들이 많이 나오고 일어나는 사건들이 유쾌하지는 않음유교걸에는 당황스러울 수 있는 돌아버린 인물들. 어딘가 핀트가 나간 개성 강한 인물들의 유쾌하지만 어두운 시대극. 실존 인물을 모티브로 했지만 실제와는 많이 다름Huzzah!멍청해도 밉지 않은 피터 황제. 영리하게 자신의 길을 찾아가는 캐서린. 둘은 의외로 잘 어울린다. 캐서린의 욕망이 반짝인다."
"괜찮아, 사랑이야","장재열 옆에서 함께 달리던 강우. 충격적이었고 가장 인상 깊었던 장면. 아직까지 강하게 남아있던 엔딩도경수님을 처음 만난 그 작품, 광광 울었다 ㅜㅜ결국엔 사랑했고 종국엔 행복했다.개인적으로 인생드라마 누구나 말할 수 없는 마음의 병이 있듯 치유해 나가는 과정이 좋았던 드라마괜찮다고, 괜찮다고, 함께 하니 우리는 좀 이상해도 된다고 끊임없이 이야기해준다연출 ost 스토리 배우 모두 완벽한..각자의 아픔을 서로에게 치유해 가며 시청자들에게도 위로를 건넨다. 툭툭 던지는 대사가 보는 재미를 더한다.가끔 생각나는 장면들이있다장재열ㅠ방송 당시에 진짜 충격적이었던 작품.. 이런 소재의 드라마는 처음이었던 듯 진짜 사랑이 무엇인지 생각하게 되는 인생드라마 역시 믿고보는 노희경 작가님 작품임그래도 낙타는 도망가지 않아. 묶여있던 지난 밤을 기억하거든. 우리가 지나간 상처를 기억하듯. 과거의 상처가 현재 우리의 발목을 잡는다는 얘기지여기 나온 모든 인물들이 좋다. 재열해수커플 최고❤️이 드라마 이후로 노희경 작품은 확실히 안 보리라 다짐함. 허세으 끝. 극치를 달했던. 이전의 담백했던 노희경이 그립다괜찮아, 정신이란 건 누구나 다 아플 수 있는 감기 같은 거야.여름 씨의《인간 세상》관찰 기록장완벽한 힐링 드라마가 아닐까
여느 드라마처럼 악역과 착한역이 존재하는 로맨스 중심 레파토리가 아닌 나로써는 한국드라마를 다시 한번 생각해보게해주는 그런작품
매회 본방 챙겨보면서 단 한번이라도 울고 싶지않았던 적이없었다톡톡쏘는 이야기로 마음에 스며든다.인생 드라마인간사의 추악함 속의 아름다움을 누구보다 잘 쓰는 작가. 실제로 나한테 일어날 때는 징글징글한 사연에 눈부시게 아름다운 영상미가 딱 우리네 삶의 속성과도 같다. “끔찍하게 눈부신“조인성배우님의 최고드라마~그럼에도 불구하고 괜찮아, 사랑이야"
사라진 첫사랑,누구에게나 서툰 처음이 있다풋풋한 BL..! 메메랑 밋치 비주얼이 좋다아오키 바보 귀여워가지곤~풋풋한 일본 감성의 BL헤테로인 줄 알았는데 이 얼굴에 비엘이라니 감사합니다 벨드 입문작으로 강추스타토 물 들어올 때 노 안 저을래?? 나니와 1월이 내한하는데 이번달에 이거 한국 넷플에서 끝나면 어쩌라는 거?? 물론 난 봤지만 노 좀 저으라고…유일하게 본 BL드라마 스킨십도 적어서 저항없이 봤다 남주가 푼수인데 귀엽게 생긴애가 그러니까 더 귀여움진짜 개미쳐버린 bl드라마다.. 스토리랑 연출이랑 모든게 완벽함.. 스퀸십이 좀 없지만 오히려 없어서 더 재밌었다고 생각함솔직히 bl인줄 모르고 본 사람이 꽤 있는 드라마ㅋㅋㅋ... 그치만 이야기도 인물들의 개성도 잘 담긴 드라마라서 가벼운 마음으로 bl을 보고 싶다하면 꼭 봐야할 만 한 것BL인 줄 모르고 봐서 당황함. 그런 장르를 싫어하진 않아서 계속 봤지만 그냥 그랬음. 슌스케와 리코가 예쁨리뷰그냥 미치에다 슌스케가 너무 맑고 예뻐배우가 전부 다 좋은 드라마 처음이었음🫶 일드에다가 bl이면 취향을 많이 탈 거라고 생각하는데 이 드라마는 호불호가 많이 안 갈릴 것 같음 드라마가 귀엽고 밋치가 예쁘다
"잔잔한 파도에, 부부의 화창한 날씨",
내 남편과 결혼해줘,"처음부터 판타지임을 믿고 신나게 달리는 드라마. 그리고 그게 전부였다. 아, 배우들의 연기력이 빛이되어 남았군. 중반이후 결말이 궁금하지 않았다.뭔가 가족들땜 억지로 봤는데 의외로 잼나서 통쾌하게 봄사이다 통쾌한 복수 !! 당하는 족족 사이다로 돌려줘서 너무 통쾌한 드라마 송하윤배우님 악역은 진짜 최고다👍웹툰의 실사화 성공 막장이지만 원작 생각하면..도파민은 이런거다!!! 라는걸 보여주는 드라마. 후반부로 갈수록 붕뜨는 캐릭터가 아쉽지만 연기력 파티로 조금씩 잊게 해주는 드라마. 고구마가 아닌 사이다가 되길.소재가 자극적이긴 하지만 배우들의 호연으로 재미있게 봤습니다.사이다만 생각하며 달리게 되는 드라마너무 가볍고 자극적인 부분들. 눈쌀이 찌푸려 질 정도의 맥락 없음. 급전개 후 얼버무리는 장면들, 억지로 만든 사이다 복수들.. 내가 뭘 보고 있는거지?나인우님의 매력을 한껏 느낄 수 있는 드라마.이런 쓰레기같은 대사의 드라마는 정말 오랜만이다ㅋㅋㅋ웹툰은 나름 재밌게 봄. 웹툰에 비해 많이 각색된 부분들이 흥미롭지 않고 다소 어색하게 느껴진다. 5화까지 보고 하차이이경님의 빌런 역할이 최고였습니다원작을 모르고 봤는데 재밌고, 좀 통쾌하기도 하고, 역시 권선징악, 인과응보 사람은 고쳐쓰는게 아니다. 가스라이팅이 이렇게나 무섭구나를 느꼈고, 수민이역에 송하윤배우님의 연기 대박처음은 좋았다 갈수록 이상해짐 한국 드라마는 8부작으로 해야함초반은 좋은데 마지막은 <재벌집 막내아들>그 이상도 그 이하도 아니다. 동급이다장난하나....초반엔 잘 나가다가 갈수록 펜트하우스화..웹툰도 재미있었는데 드라마도 재미있네요주말드라마같은데 또 재밌음 악역들 보는 재미로 보는 드라마였다재밌어요 로코퀸다운 연기력 박민영 쵝오닷정말 신기한 드라마인 게 여주가 나오면 재미가 없어지고 남주가 나오면 더 재미없고 둘이 같이 나오면 제일 재미없음 그래서 스트레스 받다가 정수민 나오면 숨통이 트이고 스트레스 풀림웹툰을보고봤는데 스토리도 많이안바꾸고 지루할새없이 잘봤네요10화까진 그래도 볼만했다가 보아 등장부터 개연성 붕괴 알고보니 원작과 다른진행 그래서 인지 점점 아내의 유혹화되버림. 억지로 등장인물 몽땅 커플만들기며 구태의 극치를 보여줌.중반부부터 김순옥 작가님으로 교체된건가 싶을 정도로 펜트하우스로 장르 변경. 다된밥에 재뿌린 격.웹소설은 보지 못했고 웹툰은 연재때 다 봤던 사람으로서 연출은 별로였대도 최근에 웹툰 중 드라마화한 것 중에서는 그나마 나은 각색[오늘도 사랑스럽개, 남과 여, 이 연애는 불가항력 등 너무 많아…]이었다. 웹툰의 지저분한 막장을 오히려 덜어냈고 웹소설과 어느정도 섞어서 각색해서 그런지 조금 갈피를 못잡는 감이 있지만 주인공에 딱 맞춰서 집중하고 주변인물들 서사로 늘어지지 않고 딱 보조해주는 정도로만 나왔다. 그래서 공민정 배우가 좀 아쉽긴하지만… 여튼 기대를 덜고 이미 알고 있는 이야기라 그런지 나쁘지 않았다. 아직도 문성근이 여기 나온게 안믿길 뿐.

(~ 240220 tvN 본방사수)잼있어요웹툰 원작이라 뒷 내용을 알아서 고구마 부분에도 조금 덜 답답해하면서 봤던 거 같아요. 박민영 배우도 주인공 역할에 찰떡이고, 다른 배우님들도 캐스팅 잘 되신 것 같아요."
