titles,reviews
탄금,"미스터리 멜로 액션 사극. 이재욱의 재발견. 클리셰 충만. 중간에 늘어지는 멜로나 몇몇 장면을 축약해서 8부작 정도로 만들었으면 딱 좋았을 것 같다.예측 가능한 클리셰 범벅에 흔한 혐관 로맨스지만..나쁘지않네요.왜냐하면..제가 이재욱을 좋아합니다ㅋㅋㅋ미스터리가 가미된 나름 일지매스탈 사극(?) 스토리 탄탄한 줄 알았는데 너무 늘어짐…. 초반에는 흥미롭다가 중반에는 너무 늘어짐… 이재욱 딕션이 좋아서 그런지 연기는 젤 괜찮은듯스토리 진행 너무 느리고 답답 묻는 말에 대답 안하고 말돌리고 딴소리 하는 느낌사극에도 잘 어울리는 박병은의 연기가 인상적이다멜로를 살짝 줄이고 액션을 강하게해서 19금으로 했음 어땠을까 갠적인생각... 영상미와 음악이 너무 좋고 배우들이 연기를 넘 잘한다!! 이재욱배우가 사극이 참 잘하는구나...너무 지루함.... 거의 끝쯤 재미있어지나했는데도....지루함을 깔고 감... 1회를 30분으로 줄이면 좋았을듯...가슴아픈 사랑....끝내 이루지 못하고 눈물이 하염없이 나네요ㅜㅜ뭐랄까..
스토리가 문제라기보다 대사가 사극과 현대극 그사이에서 갈피를 못잡는다.
특히 액션신의 연출과 영상의 조화가 좋았으며,
의상과 미술 전체적 색감이 좋았던편이다.
주조연의 연기력이 끌고가고
주연 셋은 연기가 .. 아쉬운게 사실이다
중간중간 조보아와 이재욱의 오글거리고 창피한 대사는 내몫이고,
정가람의 어정쩡한 톤과 연기는 특히나 아쉬웠다
첫장면부터 집중을 흐트렸다.이거 왜 점수높아요 아무리기다려고 아무 것도 없던데 6화하차 버티다버티다미스터리공포액션스릴로맨스 장르 미술과 음악에 공을 들인듯https://blog.naver.com/renorous/223872601138조보아가 너무 늙… ㅠ 케미가 안살아서 안타깝다흥미롭게 봤지만 아쉬운점이 많았던 ..김재욱 너무 멋있어.. 또미친놈으로 나왔다가 죽었지만 ㅠㅠ 그래도 사랑함 얼굴이 서사다 연기도 점점 깊이있게 잘하시는듯 많이 안나와서 아쉽습니다뻔하면 좀 어때요 이렇게 설레이고 아름답고 슬픈데 이재욱 배우님 앞으로도 응원하겠습니다한숨만..시간 아까움, 보지마세요나만 지루한건가. 왜이렇게 늘어질까. 긴장감이 생기려다 만다.좋은 배우는 다양한 역활을 보여주면서 고정 되는 이미지를 벗어 나려고 해야한다고 생각함. 항상 하던 캐릭터 연기는 시청자로 하여금 작품을 지루하게 만드는 요소중 하나인듯.그냥... 칼링타임 중드의 비극을 많이 봐서 단련됐는지 그저..그렇다..ㅋ 그리고.. 서로가 왜좋아하게 됐는지 달 모르갰다 얼굴때문인가"
언젠가는 슬기로울 전공의생활,"난 재밌던데… 왤케 다들 못까서 안달이지? 일년차들의 눈높이에서 그려지는 의학적 내용이 슬의생보다 깊을순 없을건데…그나저나 재일이가 은명이였네ㅋㅋㅋ 신기하네시기를 놓친게 아니라 그냥 망작을 묵힌거였음현실반영 안 되고 미화된 판타지 세계를 썼으면 재미라도 있어야 하는데 재미도 없네요..유명한 배우가 아니면 캐릭터의 매력을 위해서라도 촘촘한 빌드업이 필요하다. 극중 인턴 자기소개에서 스치듯 지나가는 걸로는 부족. 초반이지만 고윤정 제외 캐릭터의 매력이 너무 없다드라마는 드라마로 본다면 나름 재밌다특별출연으로 연명하고 있는 중무슨 1년차들은 다 빌런인가? 너무 어리게만 설정한듯…..개그도 없고 감동도 없고 캐릭터도 없고 하차해야겠다앞선 시즌들에 비해 임팩트가 없는 느낌슬기로운 전공의라면서 초반에 꿈 판타지로 나오건가영? 고윤정을 위한 드라마네 이거..하 참..머라해야할지 좀 더 볼께여..무슨 의사가 빚에 쪼들려서 일하기싫은데 하는 판타지라니개인적으로 고윤정을 보기위해 보려는 드라마. 메디컬 드라마는 사실 소재가 다 뻔해서 크게 기대가 되지는 않음. 중증외상센터처럼 판타지성이 있으면 그나마 차별점이라도 있겠지만미녀 의룡인의 판타지 성장드라마일단 1년차들 초-후반보면서 내 사회생활 투영하면서 울고웃고화내면서 보고 구도원한테 감기고 얼레벌레 본방사수하면서 다봤는데 즌투 언제 나오나 기다리는중 그냥 아주 재밌게잘본사람됨ㅎ최고의 대사를 만나고 있음. 대사 나올 때 마다 기대가 되고 행복하다. 현실성도 크다. 연기도 훌륭. 해외 작품을 포함, 병원 드라마 중에 가장 재밌고 즐거운, 깨소금 대본.순수하게 재미가 없고 억지감동 지겨움아무리 초보 연출에 각본이라지만…. ‘슬기로운’을 달고 나온 작품이라면 이렇게 평면적인 조연설정은 지양했어야지그냥 슬의생 3 해주세요ㅠ요즘드라마는 1편에서 시선을 사로잡아야하는데, 주인공의 변모하고 성장하는 모습을 보여주려고 큰 그림 그린 1,2편인듯 하나..... 주인공의 매력이 현저히 부족, 현실성 떨어짐재미있겠지 라고 생각했는데 기대를 많이 하고 봐서 그런가 너무 별로였음..<슬기로운 의사생활> 의 후속작인 <언젠가는 슬기로울 전공의생활> 기존 작품과 배우들의 라인업에 큰 기대가 되었고, 방영이 연기 되었을 땐 참 속상하기도 했다.

드디어 방영을 시작했고, 아직 결말까지 본 건 아니지만 포근하면서 유머있고 또 현실적인 매력은 여전하다.

비록 이제 막 시작된 이야기라 섣불리 판단하긴 어렵지만,
분명 이번에도 내 마음을 잔잔히 채워줄 좋은 드라마가 되어줄 것 같다는 생각이 든다.

기대 없이 바라보다, 마음이 먼저 다가가게 되는 그런 드라마일지도 모르겠다.다만 슬의 때도 그랬지만 환자들 얘기 나올때는 좀 노잼..이고 너무 일부러 따뜻한 드라마로 보이려고 한다는 느낌..?처음에는 슬의생때문에 색안경끼고 봤지만 볼수록 잼있네요~슬의생만큼 괜찮아요~~~마지막회가 제일 재미있다!!!🤩👍👍👍일단 논란을 딛고 저희겨우나왔어요.. 할 정도로 재밌지가 않음. 매 화 연출과 대본도 반복적이고 게으름. 울어!!!!! 하는 레파토리 맨날 똑같고 이건 뭐진짜 재미없음... 슬의생, 슬감생 넘 재밌게 본 사람으로서 참고 3화째 보는데 현실성이 없어도 너무 없어서 짜증날 정도임.. 소재는 좋았는데 아쉽다 전 아웃이요..의학드라마라고 생각하고 본다면 판타지 스럽다는 말이 이해되지만, 입사초년생들의 성장드라마라고 생각하고 본다면 너무나도 재밌다.고윤정 빼고 볼게 없네요 ㅠ 전공의 서사는 찔끔 넣고 카메오 우겨넣기 멜로가 주된 서사… 억지 빌런과 산모아이 사연팔이로 다음화 넘어가기 급급한 스토리. PPL은 거의 유튜브급고윤정 신시아 얼굴 보는거 외엔 보는 시간이 의미가 없는 드라마 근데 둘다 케릭터가 별로라 보는 맛도 없다마녀2 주인공 빡세게 꾸미니
같은 사람인지 모를정도로 예쁘고
3화까지 감동도 있고 1년차들 얼타다
성장하는거 재밌긴한데
시작부터 꿈에서 계속 장면 바뀌면서
아줌 역할 몇개를 바꿔 가며
뇌절로 시작하질 않나

시작부터 나오는 교수도 마귀할멈이니
쭈니어 ㅇㅈㄹ하면서 이상한 말투 ㅈ같고
성격 ㅈ같은 ㅈㄴ비꼬고 꼬투리 잡고

두번째 좀 젊은 교수는 첫번째 교수 욕하면서
좀 정상인가 싶더니 또 성격 ㅈ같아서
1년차들 보고 하는거
계속 트집 잡으면서 계속 처음부터 하라고 하질 않나
1년차들한테 개꼬장 부리면서
추잡하게 거짓말까지 하고
되도 않는 군기 잡질 않나
환자 교수들한텐 이미지 관리 ㅈㄴ하고
더 역겹네

뭐 매력있는 캐릭은 커녕
꼴배기 싫은 빌런 아닌 캐릭이 아닌게 없을 지경

공부 성적만 1등이고 융통성 1도 없이 환자한테
책에 나온 이론적인 얘기만 그대로 하고
수술 동의서 받는걸로 쓸때없이 1등 해서
칭찬 받으려고 하는
사회적 지능 ㅈㄴ떨어지는 인간 하나에

연예인병 남자ㅅㅐ끼
과한 질문에 열정만 앞서서
이론으로 어설프게 공부한거
서있는 사람한테 대동막 박리니
종일 누워있는 환자가 뇌골절이니

남자 ㅅㅐ끼가 sns중독에
환자한테 지가 받은 케익도 아닌걸로
sns질 하려고 못먹게
역겹게 이상한 포즈까지 잡으며 사진 ㅈㄴ찍질 않나
케익 쳐먹다 소변 얘기 하질않나

나중에 성장 하는거 보여주려고
행동 하나하나가 전부
너무 저능아 컨셉 빌런 수준인거
1화만 봐도 이미 역할정도로 개에반데

시작하자마자 자기소개 하는데
착각 한번만 해야지
세번 네번 몇번이나 뇌절해서
아무도 쳐 못알아보는 듣보잡인데
맞아요 제가 그 아이돌 연예인에요
ㅇㅈㅣ랄 하면서 스케줄표인가
종이 주니 사인 쳐하질 않나

고윤정은 예쁘기라도 하고
캐릭터 매력이라도 있는데
진짜 다른 1년차들은 전부
드라마 통틀어 한명정도 나올 최종보스 수준
빌런 발암캐릭터들

컨셉도 뭐 적당히 해야 참고 성장하는거 보는데
카타르시스 느끼기전부터 1화 중반만에
고윤정 제외 얼굴도 잘모르는 배우들인데
전부 스킵할정도로 매력도 없고
스킵 하면서 고윤정만 봐도 몇화나 볼지 모를 수준"
당신의 맛,재밌네 연기도 잘하고 강하늘 고민시 ㅋㅋㅋㅋ뭐여!!!맛없음 배우 믿고 보려다가 하차으…뻔한 캐릭터 뎁스와 스토리. 촌스러운 사운드와 연출. 이런 극본으로 연기가 무슨 의미가 있는가. 10년 전에 나왔어도 유치하다고 걸렀음.뭔가 딱 십년 전에 유행하는 스토리? 연출도 그렇고 뭐가 이리 올드해……….연기도 몇몇은 흐음……..고민시 강하늘 연기가 좋아서 그나마 볼만함제작사 특유의 감성이 느껴지는데 남주가 초반에 현실에서는 당당히 레시피 뺏어왔다고 말하는거는 거의 범죄자인데 나중에 로맨스로 포장할거 생각하니 좀………. 후반부에 과연….?줏대있게 졸라 재밌게 보는 중. 월요일만 기다려짐. 고민시랑 강하늘 연기가 넘 좋다. 둘이 잘 어울려서 더 좋음벌써부터 어수선함 강하늘은 동백꽃 연기 재탕하는 건가 싶음아 모르겠고 고민시 미모 난리났네혐관으로 시작하는 두 돌+I의 미친 로맨스이정도로 혹평받을 작품은 아니라고 보는데 b급 감성으로 가볍게 보기 좋은 작품임오랜만에 가족과함께 볼수있는 따듯한 시리즈네요 로맨스나오니 더 재밌음스토리가 진부하면 연기자의 힘으로라도 끌고가야 한다고 생각하지만 고민시 배우에게는 아쉬움이 남는다. 무슨 연기를 하고 계신겁니까…강하늘 연기가 찰짐확실히 아는 맛인데 연기가 킥이다식샤가 떠오르네.
폭싹 속았수다,"마냥 슬프지만은 않은, 웃음과 따뜻함을 주는 드라마. 주조연, 심지어 잠깐 나오는 단역들의 연기까지 완벽하고 연출극본도 최고최고!시대물 좋아요 연기들도 좋고 아역 배우들 왜이리 연기 잘하는거지?오랜만에 마음에 드는 드라마 발견시대 배경 연출 연기 모든게 다 완벽 눈물콧물 다흘리면서 봤어요 엄마얘기만 나와도 눈시울이 붉어지네요 정말 오랜만에 진짜 재밌는 드라마 보네요 끝까지 기대됩니다4화까지의 내용과 특히 연출 부분이 너무 아름답다아이유 박보검 배우님들 조합😻몰입감이 대단하고 연기를 다 너무 잘해요와 1화부터 보면서 눈물이 났습니다. 연출 각본 연기 모든게 다 갖춘 작품인 거 같아요ㅠㅜ 시대의 특징도 잘 보이고 웃음포인트 감동포인트 슬픈포인트를 다 느낀 작품이었습니다작가 이름이 연출 위에 있다는 것이 인상적. 연출의 작가에 대한 존중, 존경이 느껴짐. 연출도 너무 좋습니다 -- 마무리까지 갓벽. 상춘이 누나 날 가져요김원석과 아이유의 몸짓은 시리도록 아리고, 임상춘과 아이유의 목소리는 바스라질 듯 바삭거린다.보는 내내 울고 웃었습니다 재밌게 잘 봤습니다4부까지 대본 연출 연기까지 완벽하네요. 마지막화까지 이어지길 기대해봅니다.간만에 나온 웰메이드 휴먼드라마.. 넘 좋아요~배우들 연기 미쳤고 서사 하나하나 저릿하고 연출 생동감 장난 아니다.. 4화가 눈깜짝할 사이에 끝났다.. 일주일 기다리는거 너무 길다!!!대본 연기 연출 음악 미술 모든 게 완벽함. 이런 드라마가 필요했다. 뻔하지만 뻔하지 않고, 예상이 가지만 좀 다른 우리네 이야기. 2025년 최고의 작품이라 가히 말할 수 있다.슬픈데 웃긴 감동과 재미 다 잡은 드라마 얼른 뒤에 있는 회차들도 보고싶어요 주연, 아역, 조연 연기 구멍 단 한명도 없어서 몰입감 장난아니에요귀엽고 슬픈 작품이다 1초만에 지나가는 장면에도 엄청난 공을 들인 게 다 보인다 주인공들 귀여움 순애 미침웃고 울리는 드라마 내 인생 드라마가 될거 같아요🧡🧡🧡임상춘 김원석만 보고 들어갔더니 의외로 연기들이 다 너무 좋아서 놀랐네요 아이유 박보검은 본체가 안보일정도로 애순/관식 같았어요재밌어요애순 관식 이 두 사람의 사랑이야기가 안쓰럽기도,애틋하기도 한데 젊은 부부가 되어 너무 애쓰며 살아가는게 마음이 아프고 가슴이 찡…하다. 애순관식이 서로에게 든든한 존재인게 드라마에서 딱 보인다. 표정과 손 잡는 거 하나 하나 까지 너무나도 연출이 완벽한 작품. 왜 스킵 없이 처음부터 끝까지 봐달라고 하셨는지 완벽하게 알았다. 혹여나 작은 포인트 하나라도 놓칠까 집중하고 스킵없이 봤다. 3,4화에 비해 2화는 두 사람이 하는 사랑이 귀여워 웃으며 봤지만 4회는……눈물이 눈물이 ㅠㅠㅠ 전개가 빨라서 지루한 틈이 없고 색감도 예뻐 보는 눈도 즐겁다. 보면서 부모님 생각이 많이 나는 드라마. 그리고 따수운 마을 해녀 이모들까지…연출과 대사,연기 모두 정말 완벽하다고 할 수 밖에 없다. 캐릭터가 소개글과 맞게 너무나도 잘 표현이 된 것 같아 좋았다.
정말 정말…모두에게 추천하고 싶은 작품. 그리고 다음화가 정말 기대되는 작품.4시간이 짧으리 만큼 몰입해서 너무 재밌게 봤어요🍊 그래서인지 앞으로 남은 12회는 어떻게 풀어 나갈지 너무나도 기대되요애순관식 케미도 좋고 연기를 너무 잘함 애순이가 울고 웃을때 같이 울고 웃게 됨4화까지 보면서 날 위해 모든 것을 해주던 엄마아빠의 젋은 시절이 떠올랐다 ㅠㅠㅠㅠ 진짜 계속 울게 됨.작감배 레전드조합...왜 예고편만 봤는데 코끝이 찡해지는거죠?? 이거이거 대작예감오랜만에 만난 재밌는 드라마에요 4화까지 다 봤는데 슬프고 웃기고 그냥 애순이,관식이 모두 행복했으면 좋겠어요 가출씬 너무 귀엽고 너뮤 웃김 ㅋㅋㅋ존잼이네요우리들의 블루스만큼이나 제주도에 대한 해석이 완벽한 또 하나의 드라마"
천국보다 아름다운,"후반부에 뭔가 큰 거 한방 없는거라면 지금까지는 너무 뻔한 흐름임 특히 서브스토리로 반려견, 반려묘, 무지개다리 이 소재 자꾸 울궈먹는 거 이제 그만이 드라마 보기 전엔 손석구-김혜자 커플 조합 이게 뭐야 싶었는데, 진짜 한 번 보니까 매 화마다 감동 포인트가 있더라고요. 선입견 버리고 2화까지만이라도 보시길 추천해요.주연 캐스팅에만 돈을 쓰고, 다른 모든 곳에 돈을 안 썼다 촬영 조명 색보정 음악 CG 조연 단역 연출 극본 모두 아쉽고 또 아쉽다. 2화까지 힘겹게 틀어놓다가 하차아 눈물엄청나네,, 폭삭속아쑤다 보고 이제 눈물 쏟을일 없을줄알앗는데 ㅠㅠㅠㅠㅠㅠㅠㅠㅠ비슷하게 슬프네진짜 ㅠㅠㅠ김혜자님 너무 사랑스럽다천국에서의 삶을 꿈꿔본적없지만 1,2화 보면서 울다 웃었다! 내가 만나고 싶은 사람. 돌아가고 싶은 나이.다시 산다면 어떻게 살고 싶은지 ! 무엇보다 배우님들 명품연기까지!강력추천간만에 존잼드라마 만남욕하는 혜자님의 천국입성기 웃긴데 슬프고 슬픈데 웃겨소재가 독특해서 계속 보게되는 드라마김혜자님과 손석구 배우의 연기는 진짜 너무 좋은데 연출이랑 주변 인물이 너무 튀고, 나레이션도 몰입에 방해됨..개유치함.... 진심..... 개연성도 말도 안됨 인물 심리가 이해 안됨 신과함께 하위버전 저승물... 손석구가 귀여워서 2화까지 봤다울고 웃으며 함께할수 있는 가족드라마 ❤️🧡💛💚💙🩵💜🌈어째 갈수록 별로다.. 초반에 흥미로운 주제와 전개가 박살난 느낌1화는 정말 최악.. 내가 바이럴 광고를 보고 기대한 요소가 단하나도 나오지 않음
메인을 천국으로 이외 서브스토리가 전부 1화
예산을 때려부어도 모자랄 판에 촬영 퀄리티가 좋지 않아 실망스러웠음

2화는 김혜자 할머니와 손석구의 로맨스는 손석구가 '어려운 선배님'을 대하는 연기여서 별로였음
젊은 모습이 되었다고 먹은 나이가 사라지는 게 아닐텐데 캐릭터 자체의 매력이 떨어진다고 느꼈음

인터넷 썰로 떠도는 무지개다리 이야기를 감동적인양 표현한 게 싫었음 (아는 얘기 말고 모르는 얘기로 감동주기를 바랬어서)

그런데 개인적으로 5,6,7화는 좋았음
궁금하지 않았던 영애찾기, 세계관 설명, 낙준솜이, 할머니 취급이 끝난 회차여서 그런듯
김혜자와 목사(어른과 아이)의 관계성이 가장 좋았음

눈이 부시게랑 같은 감독님이 맞냐고.........손석구와 김헤자라는 말도 안되는 커플설정을 말이 되게 만드는 연기들, 매화 울고 웃으며 보고 있는데 이걸 악평하는 사람들은.. 한국사회는 너무 분노에 차 있는거 같다.인생드라마가 될듯합니다!! 드라마 본 후로 천국가려고 착한일만 하려고 노력하게 되요ㅋㅋ 낙준과 해숙의 티카티카도 너무 좋고 조연분들 연기도 최고네요!!세상을 떠난 사랑하는 사람들 보고싶을때 행복한 상상을 할수있게해주는 소중한 드라마❤️재밌다.. 나의 남편도 저럴수 있을까? 나는? 여러생각이 든다 너무 재밌다좋은 드라마 괜찮은 드라마 신선하기도 하다사랑하는 존재를 떠나보낸 경험 있는 사람은 각오하고 봐야함 웃기다고 방심하다가 스쳐지나가는 수준의 작은 에피 하나에 갑자기 펑펑 우는 수가 있음굿플레스가 생각나는 작품. 그러나 굿플레이스가 블랙 코미디라면 이작품은 착함을 대놓고 표방한다. 김혜자와 손석구부부라는 설정이 케미에 부담되지 않는다. 아무리 늙었어도 여자다.나레이션 너무 웃겨. 가끔 회의 시간에 가져가고 싶다울다 웃다 시간가는줄 모르고 봤어요 연기 구멍이 없고 다음화가 너무 기대됩니다!!눈이 부시게 정도는 기대안했지만 아직까지는 별 감흥이 없네간만에 자극적이지 않고 천국같은 힐링드라마 한편 탄생!1화 시청, 예감좋다. 2,3화로 갈수록 흥미가 떨어진다. 서사가 너무 진부한 탓일까?초반에 뻔하긴해도 소재 때문에 흥미로웠다. 후반을 달리는 지금 드는 생각은 저런게 천국이라면 안 가도 되지 않나.. 그냥 밝은 지옥이잖아.흥미로운 설정에 중반까지 참고 봤으나 억지 감동 주입, 중간에 어이 없는 설정까지 웃기지도 않음개판오분 전 드라마 연기들은 너무 잘하는데 이게 뭔드라마인지 어휴 중도포기한 드라마"
"미안하다, 사랑한다","20년전에 본 드라마였지만 아직도 대사가 머릿속에서 둥둥. 밥먹을래? 나랑 같이 살래? 밥먹을래? 나랑 같이 죽을래? 크-진짜 무혁은채? 최고가 된다. 이렇게나 사랑에 단단히, 지독하게 미친 커플은 전에도 없었고 후에도 없을 것이다. 자신의 목숨보다 서로를 더 사랑했고, 본인보다 서로를 더 위했으니.다시한번 정주행한 작품. 명대사와 어그부츠와 레인보우니트 헤어밴드 등..등...패션또한 센세이션했던 그유명한 미사. 말해뭐해.. 근데 안타까운 새드엔딩마지막엔딩은 진짜 말잇못.. 엔딩은 아직도 내마음속1위지섭이형과 수정이 누나의 사랑이야기는 미안하고 사랑하는 이야기 였다.😍미안하다 다시 봐도 열광 포인트를 모르겠다마지막의 충격은 잊을 수가 없는.성공한 드라마는 각본만으로도 얼마나 잼있을 수 있는지 알려준 드라마. 이 시기의 소간지를 기억한다면.지금으로치면 밈을 많이 생산할만큼, 핫했던 드라마 ""죽을래 나랑 같이 살래""소지섭 임수정의 케미가 너무 좋았구 눈물 펑펑 흘리며 본 드라마ㅠㅠ이상하게 다른 드라마보다 나이를 더 먹는것 같다.박명수 호통개그에 이은 무혁 아저씨의 호통ㅘ고의 드라마이때의 소지섭, 임수정 캐미는 정말... 박효신의 OST까지 완벽한 삼박자였다.-내 중2병 시기를 관통한 명작"
귀궁,여주 연기력이 어색함. 중간에 귀신 나올때 깜놀했음. 뭔 내용인지 모르고 본 방송 봤다가 식겁함.. 귀신 나오는거는 갠적으로 별루입니다.. 하지만 스토리는 괜찮으니 보시길스토리는 좋은데 주인공 두배우의 연기력이 좀 부족함...배경설명이 좀 지루하지만 육성재 캐릭터 보려고 봄. 개인적으로는 도깨비때부터 이미 연기 잘했다고 생각함. 여주 연기가 어색해서 같이 묶여서 평가 받는게 아쉬움..1화에 서사쌓는부분이 좀지루했는데 2화에 남주가 빙의되면서 분위기 확바뀌고 재밌어진듯ㅋㅋ다음 기대하며 우선 매주볼예정! '귀신들린 궁'이라 그런지 귀신들이 나오는데 무섭진 않을정도판타지 로맨스 코미디ㅋㅋㅋㅋ 약간 유치할 수 있는데 그게 또 묘미입니다ㅋㅋㅋㅋ액션 연기 전부다 어설픔. 손이 닿지도 않는데 저 멀리 날아가 나무에 쳐 박히더라. 연기는 도저히 몰입이 안된다. 여배우가 연기 못하는건 아닌데 주변이 영 아니다.소재는 그럭저럭 재밌는데 여주인공 표정이 잘 안지어지는 느낌 서너개의 표정으로만 연기함마니 아쉽네 연기력진짜 ....귀신 나올때마다 무서운데 재미있어요가볍게 보기 좋음. 시청률 왜 높나 궁금해서 보기 시작 했는데 어느정도 이해감. 다음주부터 존잼일지 별로일지 가닥 잡힐거 같음. 지금 방영드라마중엔 제일 괜찮은 느낌.여주 집착 남주 훌륭하다 훌륭해 배우는 좀 아쉬움유치하면서 재밌어요. 구미호뎐 재밌게 봤었어서 비슷한 내용인 이작품도 재밌네요. 나 옛날귀신 좋아하네... 이무기도..!존잼이었는데 로맨스가 들어가면 들어갈수록 엉성하네.결국엔....
금주를 부탁해,IMDB 8.4 역시 TVN!가볍게 볼만함 금주소재가 좋음
죽을 만큼 사랑해서,어쩌라고.. 살인이 살인인거지 사랑이 어디있어? 하여튼 나리미야 올만이라 반가웠음 많이 늙엇더군
24시 헬스클럽,"볼만함 웃기는 장면 있고 설명하면 병맛에 운로코 넣은 느낌정은지 좋아해서 보려고 했으나, 은지빼고 못봐주겠음. 연출도 구리고 대사나 개연성도 구려서 1화도 다 못보고 껐음."
