titles,reviews
차라리 죽여,"박평식 아저씨가 뭘 말하는지 알겠슴다!! 나름나름 ... 보기 드문 영화입니다 ㅎㅎㅎ관람 후기를 써야 하는 나를...4.5 / 10요즘 보기도 힘들고 처음보는장르의영화B급애로물이네 그래도 주연들의 연기는 실감났다아이씨 니들정말 내손에 죽어볼래김기두 배우님의 청년회장 대근 역할 코믹부분 너무 재밋었구요 김기두 배우님고ㅏ 이장님의 조합 재밋엇어요 이장님 맞는 장면도 재밌엇구요 개인적으로 김도연배우님의 연기와 배드신도 너무 휼륭했습니다 기억에 많이 남아요 영화 꼭보세요저는 사전에 빈스필름 초대로 시사회에 다녀왔구요 영화를 미리 관람한 후기는 오랜만에 찾아온 정말 화끈한 핑크 코미디인데 제일 좋았던점은 특히 주연배우인 김도연 배우의 연기가 진짜 최고입니다 보석같은 배우를 찾았어요 진짜 모든 제작사 감독님들 김도연배우님을 주목하셔야합니다. 외모도 너무 휼륭하지만 외모외에도 표정연기부터 그냥 모든씬에 대한 연기가 대박이었구요 몰입감을 깊게 주는 연기였습니다. 또 영화를 봐야지만 알수있는 김도연배우님의 연기는 그냥 어나더 레벨입니다.또한 유지영이라는 캐릭터에 대한 이해도가 너무 높아 연기가 완벽해보였습니다.유지영이라는 캐릭터는 약간 도라이캐릭터인데도라이같은 포인트 덕분에 영화에서 웃을수있는 핑크 코믹 포인트 가 존재하구요 이장님쪽 캐릭터들도 코믹적인 부분 아주 좋앗어요 다만 제일 아쉬운건 뭔가 김도연배우님 씬에서 대사가 있을거같은포인트에서 지나간 부분이있어이부분은 차후에 ott 로 진출하게된다면 감독무삭제판으로 무조건 나왔스면 좋을거같구요김도연배우님의 핑크씬 외에도 모든 씬에서의 대사나 눈빛연기는 가히 다시생각날정도로 기억에 남습니다.사실 주연 여배우님이 두분이신데 번갈아가면서 씬이 나올때에도 김도연배우님의 씬만 기다리게될정도고 영화가 끝나고 나면 김도연배우님의 씬만 생각날정도로 아주 강렬하고 이부분은 꼭 꼭 영화로만 확인하실수있으니 오늘 개봉하니까 궁금하시다면 꼭 꼭 확인하러 가셨으면 좋을거같아요 그리고 어떤 평론가님께서 1점을 주셔서 화제가 되어 일부 짤로 쓰이는것같던데 이부분은 영화를 직접 보신다면 아 평론가의 평론과 관객이 보는 시선은 다를수있구나라고 많이들 느끼실거같아요저는 차라리죽여의 재관람은 물론 김도연 배우님의 차기작이 벌써 기다려집니다. 다음작품에서도 좋은 주연을 맡으셔서 명품연기를 보고 싶습니다차라리 죽여 제작진분들 고생하셨고 특히 김도연배우님 최고입니다. 제가 1호팬할게요 파이팅성과 코믹을 버물려 주객을 전도시켜버린 영화코믹하게 섹스를 말하는 영화로 무난하게 봤습니다.시골 마을에 내려온 자매들이 성적인 매력이 있는 범인을 19금스럽게 제압하는 독특한 에로 영화기대보다 아쉬운 웃음타율 다소 과한 그 장면들보다 웃음에 더 신경썼더라면 어땠을까ㅋㅋㅋㅋ 색즉시공보다 조금 더 야하고
성인영화 보단 조금 약한 섹시코메디...
가볍게 웃으며 볼만했습니다.
예고편 보고... b급감성 예상하고 갔기에...!!?에로 비디오를 극장에서 단체로 관람한 느낌. 성인지 감수성 0이지만 약간 웃기고 많이 야했다. 성인들도 좀 볼거리가 있어야지.생각보다 장르에 충실했네요 ㅎ 다만 섹시코메디가 아니라 에로물급..... 적나라하게 나옵니다."
미키 17,
릴로 & 스티치,
범죄도시4,"적어도 나는 1편 이후로는 다 별로였다고 생각한다. 하지만 이번에도 관객 반응은 괜찮았고, 나는 또 즐기지 못했다. 대체로 3편보다 낫다는 의견엔 동의한다. 잔혹한 빌런을 생성한 후, 바보(?) 유머를 섞어주고, 명쾌한 핵주먹 액션을 선보이면 한 편 뚝딱이다. 내 느낌은 그렇다. 일말의 야심도 느껴지지 않는 이 단순한 공식의 영화가 사랑받는 이유가 무엇인지 궁금해졌다. 친구들은 나에게 ‘재밌어서’라는 단순명쾌한 답을 주었다. 그것은 아마도 나에겐 단점으로 느껴지는 많은 것들이, 사람들에게는 장점으로 작용했기 때문일 것이다.No Funny No Develop No Action “카레에서 짜장으로 바뀌면 뭐하나 이미 아는 맛인데.”나는 이 시리즈를 2편을 보고나서 '빌런'만 잘뽑는다면 무한의 가능성이 있다고 생각한적이 있다. 그리고 이 영화도 그걸 분명히 아는것 같은데 지난 3편과 이번 4편을 보면 아이디어가 고갈 된게 확실해보인다. 3편보다 나아졌을뿐 시리즈 정체기는 지속되는 느낌이다. 아는 맛이 무섭다지만 동시에 단점이라는 것을 확실하게 알려주었는데 빌런의 위엄에 다시 급 집중했으나 분산되는 여러 무매력 쓸모없는 다른 빌런의 등장은 그 매력마저도 삭감 시키고 있더라. 어찌했던간에 사람들은 마석도 정의의 주먹에 환호를 하는데 변형을 주어서 서로 잡아 먹는 빌런이라. 그것도 일방적으로. 스스로 거줘먹을 장면을 깎아먹고 있더라.


변화도 많이 주었다. 지나치게 동료 형사들을 들러리 취급했던 전편과 다르게 마동석만이 아닌 여러 형사들의 분량을 꽤 골고루 챙겨준 느낌으로 대폭 늘려서 물리적 직감적 마석도 단독쇼가 아닌 사이비 수사대를 합쳐 지능을 장착해 팀 매쉬업을 선보이지만 결국 그럼에도 돌고 돌아 보여주는건 우리가 아는 맛 뿐이었다. 주먹의 타율 그 이상의 재미를 이제는 못느끼겠는데 웃음도 액션도 상황도 빌런도 5편 이상으로 나아가려면 '흥행하니까' 가 아니라 좀 더 확실히 진화하는 모습을 보여주면 좋겠다.블라인드 시사회로 봤어요. 4편도 기대하셔도 됩니다~! (아직 출시까지 일년정도 남아서 스포는 못해드려요)1.2가 그립다 더는 볼 수 없는 걸까?우리의 FDA! 장이수가 다 했다. 개인적으로 2,3편의 빌런보다 훨 인상적이었던 4편의 빌런.코믹은 있는뎅 뭔지 소재 갈고도가 심한느낌액션에 더 신경을 쓴 부분이 만족스러웠음 악을 응징하는데서 오는 카타르시스란.. 다 아는 맛이지만 여전히 맛있음"
로비,
바이러스,
어글리 스텝시스터,
줄스,"인생의 끝자락에 찾아온 한 존재로 인해 활력이 생긴다노인의 외로움, 존재감, 그리고 인간다움을 따스하게 그린 작품. 밀턴의 말에 옆에서 '존재'로 대답해 주는 줄스와 그 조용한 공감. 말이 없어도 잘 들리는 관계도 있다.따뜻한 그 자체. 이런 친구들과 이런 경험을 나눌 수 있다면 노년도 나쁘지 않을 것 같아.돈 처들이지 않고 이야기와 연기만으로 감동을 받다. 이게 영화의 미덕이지내 집 뒷마당에 불시착한 외계인과 친구가 되는 기발한 상상력에서 시작된 이야기지만, 가족에게 소외된 노인들에게 사랑이 되어준 그 무뚝뚝한 외계인의 다정함이 부모님을 생각나게 한다.아니 이렇게 안전하고 귀엽고 흐뭇한 SF가 있다니 말이에요잔잔한 우정이 보긴 좋았으나, 줄스가 첨에 밀턴 할아버지 여우 닮았다고 그린 건 줄 알았는데 사실은 고양이가 우주선 연료로 필요해서였단 사실에 애묘인으로선 좀 충격이었어요.. ㅠㅠ잔잔하니 재밌어여재미있어요! 2025. 4. 20.친절하게 안했으면 뚝배기 다 터졌을듯비밀친구소소하고 잔잔한 감동만 있는 영화. 은은한 재미를 느낄 수 있지만 화려한 연출은 없는 영화라 슴슴하게 느껴질 수 있다. 시간 남으면 볼 것.나에게도 외계인 친구가 있었으면.노년판 ET. 그리고 시대의 흐름과 적당한 메시지까지ᆢ들어주기만 해도 친구가 될 수 있구나커뮤니티의 중요성다정함이라는 언어이티만큼 동심넘치고 환타스틱하진 않아도 삶의 뒤안길에 새로운 친구를 찾은 잔잔한 스토리가 제법 여운을 준다.."
아노라,"대체 이게 왜 좋단거지? 참 좋았던 플로리다프로젝트와 불호의 아노라의 간극에 화가나는건 내가 레드로켓을 건너 뛰었기 때문인거야? 콘클라베나 브루탈리스트를 넘어 작품상 정배라고?이고르 같은 남자가 있다는 게 기만같이 느껴짐노동자끼리 일렬로 가는 장면이 좋았다.그녀를 애니로 본 이반, 아노라로 바라봐준 이고르아노라를 포함한 모든 인물들의 삶이 알고싶어지노라신데렐라를 꿈꿨던 매춘부의 로드무비. 황금종려상을 받을 정도는 아니라고 생각한다. 결국 더 나은 남자를 찾아 옮기는 결말도 여성 성장 영화로 보기엔 미흡하다.배우들의 연기에 3점, 성노동자를 위한다는 션 베이커의 얄팍한 연출1만 달러의 애니, 그리고 1만 달러의 아노라. 시끄러운 하룻밤의 소동극 이후에도 결국은 변하지 않는 간극을 부정하지 않지만, 대가없는 온정만큼은 머물 자리를 내어준다.출신은숨길수가없다생각보다지루합니다도파민 가득한 전반부와 귀청이 떨어져 나갈듯이 정신없는 후반부, 그리고 반전매력 터지는 캐릭터들이 영화의 매력을 돋운다한 아이를 키우려면 온 마을이 필요하다더니, 부잣집 도련님은 성인이 되어서도 정신이 어린아이라 사고 뒷수습에 온 노동자들이 동원된다.
만사가 아랫사람들한테 돈 몇 푼만 쥐여주면 뚝딱 해결되니, 영원한 사랑의 서약이라는 결혼도 부자들한테는 그저 종이 쪼가리에 사인만 하면 언제든지 깰 수 있는 심심풀이 땅콩에 불과하다.

주인공인 '아노라' 뿐만 아니라 자카로프 가의 하수인인 '토로스'와 '가닉', 그들에게 고용된 '이고르', 청소 노동자들과 라스베가스의 호텔 직원, 변호사에 행정 직원 등등 다양한 노동자들이 말 그대로 열심히 사는 모습이 등장해서 마냥 영화 속 이야기로만 보이지가 않았다.
모든 인간은 평등하게 태어난다고 하지만 실상은 그렇지 않은 사회 현실, 인물들 간 존재하는 촘촘하고 명확한 계급 사다리를 보며 입안이 썼다.

하수인 3인방이 찾아오고 집안에서 벌어지는 소동 때문에 저항 없이 웃다가, '이반'을 찾느라 생고생하고 서로에게 화풀이하는 이들의 모습에 숙연해지고, 모든 것이 끝난 뒤에는 공허함과 동시에 한 줌의 따뜻함을 얻었다.
잠시나마 상류층의 문턱을 밟는 듯 보였지만 곧 좌절되는 아노라의 신분 상승의 꿈과 함께 보는 나도 감정적으로 롤러코스터를 탄 영화였다.메일게이즈로 얄팍하게 포장한다고 성매매가 노동이 되는 게 아닌데말이야.대환장파티를 실실거리며 따라가다가 예상치 못하게 울컥한 엔딩다시금 시궁창으로 내쳐졌을 때, 본인이 타인에게 해줄 수 있는 것이 무엇인지 인지했을 때 울분이 터질 수밖에...결코 이 이름을 놓지 않을 것끊어져가는 동아줄임에도 기필코 매달려야만 했던 간절하고 절박한 그 마음에 부정적인 시선이 아닌 동정 어린 시선으로 보게 된다.자본주의에 물든 명과암 그리고 인간군상이 닮긴 영화. 창녀가 정상이고 재벌이 천박한 설정은 좀 아이러니하다뭐 진짜 사랑했던 것도 아니고 꿈같았던 시간 즐겁게 보내고 돈도 받았는데... 흥미롭게 봤지만 상받을만한 작품이었는지는 잘 모르겠다삶의 무게 차이만이 적나라하게 드러날 뿐큰 판에서 큰 이야기를 하기보다는 작고 밀접한 션 베이커의 방식. 황금종려상은 의문.분명 비극으로 끝날 이야기라는건 알 수 있었다.가끔씩 보이던 실낱같은 희망이 더 비참했다. 마지막 눈물을 흘리던 그녀는 아노라였을까 애니였을까전혀 웃기지 않고 불쾌한 영화나를 지키려는 아노라의 분투기. 그 과정, 이 동화 같은 이야기에서 아노라의 고집이 혹시 사랑일까 느끼게 하는 마법을 보여준다. 2024.11.06마지막 씬의 그녀의 눈물이 곧 빛이 되리라.

쿠플신데렐라 스토리에서 저마다의 삶의 방식이 여실히 보여지는 우당탕탕 시끄러운 로드무비 소동극으로공감할 서사도 재미도 없고 발악과 짜증만 가득노출씬이 좀 과하지만 메세지는 있음. 어른의 세계를 잘 몰랐던 꼬마 둘.. 이제 현실을 살길"
가디언즈 오브 갤럭시: Volume 3,
