titles,reviews
이 별에 필요한,
라푼젤,
"미라큘러스 월드: 파리, 셰이디버그와 블랙클로","내용은 레이디버그 그 자첸데 평행세계에서 모나크와 레이디버그, 블랙켓의 포지션이 바뀌어 스토리가 전개되는게 꽤 흥미로웠음. 특히 셰이디버그 존나예쁨"
라라의 스타일기 1기,라라의 스타일기 1기 더빙
중2병이라도 사랑이 하고 싶어! 테이크 온 미,
너에게 닿기를 1기,
오늘부터 신령님,"과몰입 할 수 있는 판타지 애니 좋아하는 사람=나에겐 최적의 작품. 다른 세계의 이누야샤 같음. 설정 자체는 비슷한데 다른 느낌으로 재밌음최애애니애니에 대한 편견을 없애준 작품. 토모에와 나나미 둘 다 너무 멋있고 사랑스러운 캐릭터다. 두 번을 정주행했는데도 또 보고 싶다. 안 본 눈 삽니다 ....몽글몽글 순정 애니, ova까지 꼭 봐야 함오늘부터 신령님 더빙비주얼도 좋고 소재도 나쁘지 않았지만 뻔한 캐릭터와 사건 -> 감정 흔들림 -> 깨달음 -> 해피엔딩이라는 패턴의 반복이 아쉬웠다. 마지막장면을 보면 저절로 미소가 지어질 것이다. 핵심이다.진짜재밌음ㅜ 미즈키 쿠라마 넘 귀엽고 웃걍너무 좋아 ㅠㅠㅠ 토모에...🩷 츤데레 어쩔로맨스 코미디 판타지 3가지를 모두 좋아한다면 안 좋아할 수 없는 작품. 유일하게 만화책 전권을 가지고 있는 작품으로 코미디도 있지만 스토리가 뻔하지 않고 마지막 서사가 완벽설정은 이누야샤같은데 거기에 로맨스를 듬뿍 추가한"
가끔씩 툭하고 러시아어로 부끄러워하는 옆자리의 아랴 양,"가끔씩 툭하고 러시아어로 부끄러워하는 옆자리의 아랴 양 더빙'러시아어'라는 차별화된 포인트를 지니고 있지만, 그 안의 알맹이는 이전에 먹어본 맛이다. 주인공부터 삼각관계로 꼬이는 여주인공이며, 여동생까지 모두 어디선가 본 것들의 연속이다. 이를 위해 러시아러는 차별점을 둔 점은 좋았지만, 이것이 작품 내 매력 포인트가 되는가는 또 다른 문제이다.

다만 여기까지는 원작 만화에 대한 코멘트일 것이다. 이를 애니메이션으로 무사히 녹여내는 데에는 역시 동화공방의 공이 컸다. 2기가 나온다면 관심은 가져보겠지만, 원작에 대한 흥미를 느끼진 못했다.작화도 준수하고 의외의 재미가 있는 럽코 애니.나도 러시아어 좀 할 수 있는데 저런 여자는 본적이 없다.. 부럽다..."
너의 이름은.,
월-E,
약사의 혼잣말,
허니 레몬 소다,
어떻게든 되는 나날,
언어의 정원,
자객 오육칠 4기,시즌 4는 전개가 조금 느려서 아쉽지만 여전한 정통 무협 감성과 엔딩 크레딧을 끝까지 보게 만드는 아련한 OST가 사기떡밥은 그만 던지고 낚시를 시작할 때
너에게 닿기를 3기,"그시절 풋사랑.순식간에 다 봤다. 그림체가 바뀌어서 좀 아쉽지만 그래도 스토리는 여전히 좋다.꼭 봐야할 애니여름마다 너에게닿기를 정주행하는 오타쿠로서 너무 행복했네요 넷플 번역이 조금 아쉬웠고 작화도 어쩔 수 없이 낯설었지만 13년만에 나온 만큼 감사히 감상했습니다🥹13년만에 나온 3기 기대를 저버리지 않았다. 5부작이지만 1화당 1시간의 길이👍 추억의 작품이라기엔 퀄리티도 내용도 좋아서 역시 힐링된다. 왜 이제야 나온거야 + 4기도 꼭 나오길..
이번 3기는 카제사와 얘기도 넘 좋은데, 치즈루 아야네의 연애 얘기도 뭉클해서 정말 좋아한다. 특히 류&치즈루 어린 시절 이야기랑 아야네의 성장과정을 옅볼 수 있어서 감동적!미치도록 달달하고 슬픈 사랑"
명탐정 코난 4기,언제나 믿고 보는 코난타 시즌에 비해 부족한 임팩트전설의 코난 파라파라댄스!
라라의 스타일기 2기,
"여름을 향한 터널, 이별의 출구",
