movie_title,review
메기,‘믿음’이라는 ‘의심’ 속에 빠진 우리에게 던지는 경고
메기,"재기넘치는 연출에 메시지도 챙겼는데, 시퀀스들이 서로 어우러지지 못하고 겉도는 느낌이랄까."
메기,"[메기] ⠀⠀⠀⠀⠀⠀⠀ 누군가의 창작물을 한줄로 깎아내리고 싶진 않아서 굳이 굳이 나열해본다. 좋은 점은 촬영, 음악, 조명 그리고 배우들의 연기다. 그러니까 스토리 외에 대부..."
메기,<메기>의 구덩이는 무엇을 역설하는가?
메기,"빈번히 뜨는 소제목 만큼이나 온갖 아이디어를 이어붙인듯한 느낌의 단편덩어리 장편이다. 그 중심을 의심과 자아중심적 사고라는 개념이 관통하는데, 해결책은 끝내 제시하지 않는. 촬영이..."
메기,영화 더 내주세요.
메기,진실은 중요하지 않다. 세상은 어쩌면 무엇이길 믿고싶고 의심하는지로 만들어지는지도 모른다
메기,구교환 × 이옥섭 콤비야 말해 뭐할까 가벼운 마음으로 시청했다가 깊은 생각에 잠기게한 영화
메기,"신선했다. 믿음, 의심, 불신 굳건해지고 깨어지는 것들을 다양한 이야기로 풀어나간 영화 참신하고 좋았다."
메기,마지막 5분을 위해 러닝타임 내내 끊임없이 의심해야 하는 영화
메기,믿음의 아스팔트 속 자라나는 의심의 싱크홀
메기,솔직히 이옥섭은 인디영화팬들과 영화입시생 사이에서 매우 과대평가 된 감독이 아닌가 싶음
메기,그저 이야기는 흘러간다.. 독립영화만이 선보일 수 있는 스토리라인이 아닐까
메기,.
메기,구교환 찌질함의 정석 2022.02.19 넷플릭스 관람
메기,의심과 믿음으로 투합한 펑키 저글링.
메기,지난해 부산국제영화제에서 4관왕을 기록하며 화제의 중심에 섰던 영화 <메기>가 약 1년여의 기다림 끝에 관객들과 정식으로 만나게 되었다. 기상천외한 아이디어를 선보이는 이 작품은 ...
메기,펼쳐놓은 진실에 의심을 덧대어 믿음으로 재단하다
메기,불신의 싱크홀을 기똥차게 표현하는 연출에 경의를 표하며.
메기,메기
메기,"지상이란 ""믿음""과 구덩이란 ""의심"" 속 당신은 어느 곳을 택할 것인가"
메기,"마지막의 싱크홀 의미는 뭘까? 의심이 사실로 확인될 때, 꺼져내리는 마음의 구멍? 그런데 지금은 그것이 사싷인지 아닌지 나에게 관계없잖아."
메기,무질서한 구조 안에서 통통 튀는 전개.
메기,"감독이 ""답은 내가 정해놨으니 너는 공감만 하면 돼"" 라는 듯 하다."
메기,나름 신선하다
메기,독립영화 특유의 마지막 연출이 좋다 공드리를 봤을 때도 마지막 부분이 좋았고 메기를 봤을 때도 그랬다. 상업 영화에선 볼 수 없는 것이 있다
메기,불신과 폭력의 구렁텅이에서 명랑하게 빠져 나오기
메기,의심이라는 구덩이에 빠지면 얼른 빠져나오자
메기,독특한 아이디어
메기,따뜻하고 엉뚱한 색깔의 ‘곡성’ ”사실이 완전히 존재하는 곳은 어디에도 없데요. 사실은 그것과 관계된 사람에 의해 정의되는거라고 아빠가 그랬어요.” 200302
메기,"A급과 B급을 넘나드는 감성에 ab형의 미친매력을 탑재했지만, 민감한 주제를 기분나쁘지 않게 전달하는 대단한 영화"
메기,"믿음은 얼마나 생기기 어려운지, 의심은 얼마나 생기기 쉬운지."
메기,그냥 이옥섭이 좋다
메기,믿음에 대한 이야기를 굳이 이렇게 표현해야 했을까?
메기,구교환 던밀스 이주영때문에 봤는데 개인적으로 너무 불호였다... 익숙하지 않은 특이한 스토리와 전개때문에 아쉬웠음.
메기,인권영화의 라이트함을 위한 시도였던만큼이나 우려되는 점이 많았지만 각 장면의 함의나 장면들은 웃겼던만큼 씁쓸함도 배가 된다.
메기,"현실에 ‘메기’가 있다면, 펄떡펄떡 튀어오르다 탈진으로 죽어버릴지도 모른다. 아마 싱크홀로 전세계는 아틀란티스가 되겠지."
메기,메기가 보는 우리 세상. 당혹스러울 정도로 적나라한 상징
메기,무거운 메시지를 전하는 통통 튀는 연출력과 깜찍한 상상력
메기,메기는 모든 걸 안다
메기,앞으로 작품을 지켜 보고싶다.
메기,또다른 재치를 가진 충무로 감독의 탄생.
메기,"결국 중요한 것은 무엇이냐, 우리가 믿을 수 있는 사회인가? 믿을 수 있는 사람인가? 개인적으로 나는 이런 한국독립영화에서 한국영화의 기대를 갖게 된다."
메기,의심의 구덩이에 빠졌을땐 진실을 찾아서 빠져나와야한다.
